attention meditation delta theta velocity
47 100 772031 22704 0 
53 90 971347 100368 0 
51 94 1711080 212034 0 
50 100 628267 209695 0 
40 75 1477587 180191 0 
44 84 1601706 181203 0 
41 50 178991 433091 0 
34 67 701075 124369 0 
30 26 245161 44418 0 
35 34 886170 109597 0 
43 47 941830 256198 0 
40 16 1072158 757485 0 
26 54 564871 333792 0 
27 57 1721175 177178 0 
29 78 104728 37137 0 
57 93 127333 44713 0 
60 94 1899744 21342 0 
44 77 1649757 167518 0 
17 47 59062 463866 0 
11 50 191602 106586 0 
1 26 40196 49288 0 
11 24 846636 46457 0 
40 38 1392293 189085 0 
56 48 1811454 101747 0 
67 54 16193 16582 0 
67 60 135432 41514 0 
43 35 2158058 711219 0 
40 24 224138 66104 0 
41 26 453025 81023 0 
50 34 1798116 98813 0 
80 57 193707 70238 0 
91 64 37976 20202 0 
96 61 12517 22850 0 
100 64 400887 24187 0 
97 63 233362 19498 0 
90 51 650715 142950 0 
88 50 63936 55816 0 
77 30 104457 85786 0 
75 24 191010 53399 0 
81 21 438242 54003 0 
74 24 187356 32376 0 
74 20 528677 75902 0 
67 20 347830 103397 0 
48 34 1111492 388599 0 
43 35 163484 66807 0 
75 26 142214 5508 0 
66 10 169831 229280 0 
84 17 28444 33173 0 
78 20 213518 75878 0 
91 43 244444 14264 0 
27 54 183766 94281 0 
21 29 1004454 124829 0 
29 34 228000 169898 0 
41 43 1611410 64198 0 
53 64 1440850 37495 0 
56 54 433972 398505 0 
60 54 578179 72208 0 
66 67 192994 57195 0 
63 64 84414 57910 0 
66 80 192332 18252 0 
51 78 156255 36029 0 
69 27 160737 98577 0 
69 21 769735 410802 0 
66 21 28948 11357 0 
77 16 60382 23589 0 
81 37 1151851 122531 0 
83 38 1908795 267935 0 
44 48 59309 17162 0 
43 41 514940 226080 0 
56 40 460594 71968 0 
75 51 126940 28170 0 
78 66 62479 17256 0 
66 69 130326 138873 0 
81 69 35414 35186 0 
66 56 960604 166346 0 
77 50 1370561 216185 0 
63 57 1067311 83552 0 
80 61 754769 42893 0 
74 54 760350 92590 0 
75 75 321975 35858 0 
70 56 566629 82915 0 
51 50 185164 166218 0 
60 67 651717 60485 0 
53 57 984997 300904 0 
54 60 1894243 356979 0 
57 53 551823 52140 0 
69 56 902195 20844 0 
67 60 933950 195756 0 
67 74 1257643 425005 0 
60 64 2374427 327214 0 
54 50 627806 132077 0 
57 44 1408043 164113 0 
57 43 845881 80035 0 
67 40 1444294 124992 0 
57 75 1567821 308511 0 
51 60 521027 1620596 0 
41 61 136990 58728 0 
48 51 939449 316021 0 
48 20 120740 1033591 0 
56 35 102276 174989 0 
51 41 750969 382848 0 
47 43 746801 135363 0 
51 51 1031226 70894 0 
34 43 175798 344951 0 
40 26 143752 171281 0 
43 43 780015 67782 0 
37 53 425805 579633 0 
56 63 1434788 169373 0 
54 74 888382 106051 0 
57 61 2550739 214935 0 
53 57 844899 254324 0 
66 56 1934334 12908 0 
69 48 963862 109039 0 
77 43 259518 137616 0 
78 21 619895 463144 0 
66 29 1153601 48086 0 
61 35 1877132 201866 0 
48 29 70788 82621 0 
38 41 469337 172107 0 
34 40 1049208 61509 0 
35 34 1293869 594102 0 
44 41 2667379 260989 0 
63 43 2119642 429963 0 
80 97 2070583 118555 0 
91 100 1834414 214580 0 
84 97 799648 209081 0 
93 100 614008 75973 0 
84 100 686815 16592 0 
84 97 946072 173412 0 
91 100 59581 67686 0 
91 100 59581 67686 0 
83 77 25867 62222 0 
83 77 25867 62222 0 
81 64 56641 23660 0 
84 53 634500 47625 0 
78 54 603048 119091 0 
87 60 256811 19007 0 
87 66 897945 253434 0 
66 67 1125590 134329 0 
57 83 1093819 144454 0 
43 88 1080209 154122 0 
77 83 1935395 128198 0 
