bonus;lowBeta;highBeta;meditation;currentProgress;timestamp(s)
1;86402;58294;57;100;0
1;15135;17150;63;100;0
1;8036;5397;35;100;0
1;38897;15215;35;100;0
1;8971;11527;44;100;0
1;26119;20898;47;100;0
1;6129;2948;44;100;0
1;7963;11595;50;100;0
1;17248;17224;60;100;0
1;3902;5997;48;100;0
1;17510;27566;44;100;0
1;3603;3240;41;0;0,1954137
1;52533;21890;37;0;1,242366
1;8779;46126;53;10;2,212318
1;4007;3902;44;8;4,190633
1;4269;7449;34;6;5,169919
1;6358;14100;41;4;6,164153
1;37486;9707;37;2;7,160836
1;2614;1439;47;0;8,156084
1;23351;5390;61;10;9,153305
1;17100;14679;56;20;10,14552
1;18373;14549;48;18;11,07728
1;9190;26914;50;16;12,10423
1;11765;3118;43;14;13,10772
1;26804;17100;37;12;14,09874
1;22919;12293;63;22;15,09407
1;22525;20879;54;32;16,08665
1;5731;6516;61;42;17,0829
1;3638;3377;75;52;18,0773
1;11097;10582;69;62;19,07188
1;7147;5466;67;72;20,06488
1;10394;13266;83;82;21,06491
1;4528;2538;74;92;22,0568
1;11536;18270;54;100;23,05421
1;21698;17308;54;100;24,05219
1;2532;3846;23;100;25,04447
1;5318;3673;29;100;26,04005
1;10176;14753;27;100;26,96809
1;21567;16880;30;100;28,02603
1;14618;12457;61;100;30,0204
1;22935;20678;80;100;31,01469
