reward;lowBeta;highBeta;attention;currentProgress;timestamp(s)
1;56913;25506;11;0;0,02
1;11760;3948;17;0;0,2348994
1;11336;13275;26;0;0,8664636
1;11350;5661;38;0;1,849977
1;9055;12436;69;10;2,843692
1;12965;15072;81;20;3,838316
1;16319;14037;83;30;4,768264
1;35812;10429;80;40;5,758279
1;11304;29961;87;50;6,756883
1;13989;18431;91;60;7,813916
1;12241;35628;96;70;8,747237
1;16727;16154;91;80;9,809879
1;3294;3623;77;90;10,77195
1;9147;11397;70;100;11,76825
1;9355;24016;96;100;13,79325
1;4748;7798;87;100;14,72671
1;147146;69789;81;100;15,72577
1;30704;105282;67;100;16,72389
1;8369;17536;54;100;17,72326
1;17530;8622;57;100;18,72748
1;4182;11063;56;100;19,72666
2;5760;17070;26;0;0,02
2;4674;4950;41;0;0,177547
2;15200;13753;40;0;0,8793525
2;7797;12953;50;0;1,860257
2;3483;5416;43;0;2,893201
2;12538;9190;38;0;3,843475
2;2707;12786;53;0;4,876272
2;19277;11858;48;0;5,867598
2;10983;11533;56;0;6,798566
2;3067;8212;53;0;7,862185
2;8273;8980;40;0;8,858981
2;9592;30970;38;0;10,84569
2;9662;10448;48;0;11,78247
2;7205;12500;60;0;12,78768
2;1196;2529;34;0;14,80367
3;15705;6669;21;0;0,02
3;18921;8546;17;0;0,8301198
3;2104;4653;21;0;1,813455
3;17663;16235;26;0;2,812368
3;49294;10935;27;0;3,796387
3;13978;11928;40;0;4,811881
3;8627;10691;41;0;5,778271
3;17822;22771;40;0;6,794151
3;7452;20971;44;0;7,810109
3;8681;12545;56;0;8,759342
3;11724;15578;66;10;9,759435
3;11545;9772;64;20;10,79144
3;28182;11878;60;18;11,7746
3;114249;61036;44;16;12,74029
3;62613;58953;30;14;13,75709
3;6177;11882;37;12;14,723
3;19359;20046;29;10;15,7559
3;16408;10603;26;8;16,69695
3;9207;12096;34;6;18,69128
3;82756;13454;20;4;19,68501
3;52987;15843;27;2;20,68287
3;10277;10010;21;0;21,68038
3;29704;18263;21;0;22,67558
3;27529;31007;35;0;23,67031
3;19210;17680;41;0;24,66115
3;8898;4757;40;0;25,65959
3;35592;20856;40;0;26,65685
3;27665;15899;40;0;27,64937
