run;lowBeta;highBeta;attention;velocity;currentLife;timestamp(s)
1;6570;12979;57;8,95;3;0,02
1;9903;12282;63;8,95;3;0,3099308
1;83043;61515;47;9,580013;3;0,792823
1;2284;7388;63;8,95;3;1,242681
1;14159;16872;64;9,540012;3;1,692674
1;25780;11975;60;10,16003;3;2,20875
1;7686;2124;43;8,95;3;2,658661
1;12881;18487;44;8,95;3;3,075296
1;7552;12465;64;8,95;3;4,39098
1;13325;29662;70;9,500011;3;4,807473
1;6635;17046;84;9,920021;3;5,190621
1;8187;10601;88;11,17003;3;5,606961
1;14496;28908;96;14,07004;3;6,573143
1;12722;11782;87;17,12003;3;7,589561
1;18683;20634;67;20,06998;3;8,5723
1;8821;6217;61;21,21001;3;9,52191
1;18549;13801;53;22,35003;3;10,57094
1;8012;15931;66;19,50008;3;11,52045
1;9003;13214;81;20,72011;3;12,5367
1;8957;24464;88;23,72006;3;13,53642
1;4307;7575;87;26,67002;3;14,51867
1;8069;13010;84;29,66997;3;15,53516
1;4808;18041;80;30,05;3;16,4846
1;10832;11121;81;27,00005;3;17,48412
1;5220;14122;90;30,05;3;18,53318
1;10038;11071;78;30,05;3;20,4824
1;10583;22577;91;30,02;3;21,45139
1;15166;18123;87;30,05;3;22,432
1;3970;24933;94;30,05;3;24,41368
1;8229;12953;80;30,05;3;25,44637
1;11739;11679;77;26,90005;3;26,47886
1;2236;37028;84;28,08007;3;27,46173
1;6435;10754;80;30,05;3;28,39419
1;3960;7384;70;26,90005;3;29,44411
1;9870;22665;75;28,02007;3;30,37989
1;5635;20470;61;29,1801;3;31,3765
1;20024;18421;69;30,02;3;32,42568
1;12314;10326;80;30,02;3;33,37559
1;2262;14261;69;26,95005;3;34,39141
1;5127;7654;67;28,15007;3;35,39071
1;6941;9708;57;29,3301;3;36,39123
1;5757;9035;51;26,68014;3;37,35765
1;6369;13379;61;23,83018;3;38,37325
1;9842;28648;66;24,91021;3;39,37338
1;8046;10964;61;26,03024;3;40,3887
1;4067;47312;83;27,15026;3;41,37151
1;15282;33885;93;29,85022;3;42,32118
1;7115;7567;90;30,05;3;43,33736
1;32921;20279;88;30,05;3;44,33687
1;14798;23244;61;0;2;45,31952
1;9090;2723;29;9,660015;2;46,2856
1;12659;8451;30;8,95;2;47,31831
1;1950;3411;23;8,95;2;48,31741
1;8585;7033;37;8,95;2;49,31737
1;8168;9573;56;8,95;2;50,31665
1;29327;12999;41;8,95;2;51,2826
1;51070;21566;51;8,95;2;52,29897
1;3743;11778;44;8,95;2;53,28261
1;7707;15325;38;8,95;2;54,28432
1;20115;28584;67;8,95;2;55,26443
1;2121;3916;75;10,18003;2;56,27962
1;27549;44439;81;11,32005;2;57,27917
1;15915;15464;78;14,22006;2;58,26231
1;16449;18837;56;15,34009;2;59,24466
1;12114;19604;54;12,59008;2;60,24408
1;8896;20764;53;9,790069;2;61,20997
1;16071;23522;67;8,95;2;62,24224
1;12755;8191;67;10,20003;2;63,24223
1;11750;7832;64;11,40005;2;64,24191
1;17948;21267;69;12,56008;2;65,20799
1;4932;3937;54;13,70011;2;66,17399
1;3835;10879;54;10,7001;2;67,17391
1;5279;13516;51;8,95;2;68,2064
1;9662;12354;47;8,95;2;69,18896
1;15147;8887;48;8,95;2;70,17185
1;10485;6926;53;8,95;2;71,18809
1;8286;16138;60;8,95;2;72,1545
1;4226;29267;87;8,95;2;74,15338
1;13511;15569;91;11,95001;2;75,15264
1;9723;4774;75;14,90002;2;76,13548
1;11243;8263;64;16,08005;2;77,11821
1;5477;17027;64;17,22008;2;78,11751
1;7503;7464;63;18,3601;2;79,08363
1;1846;3108;75;19,60013;2;80,11639
1;12012;6348;75;20,74016;2;81,1158
1;1944;10576;61;21,90018;2;82,09841
1;8611;21000;69;23,06021;2;83,0813
1;18395;12051;77;0;1;84,13155
1;8812;13179;81;9,180004;1;85,13075
1;11529;7053;54;14,43002;1;87,0801
1;4391;34129;51;11,73001;1;88,06254
1;7449;6182;38;8,95;1;89,0984
