lowBeta highBeta attention currentProgress 
10928 2664 60 0 
13869 12519 51 0 
34321 69462 38 0 
6719 4284 41 0 
24036 16304 54 0 
12346 9872 51 10 
7019 17278 61 15 
9325 31402 70 20 
7080 4830 56 25 
22269 8374 56 25 
36548 13344 50 30 
5223 6771 41 0 
32075 21546 40 0 
7173 54112 53 0 
2971 8435 51 0 
36768 29560 56 10 
33447 34719 38 8 
2435 2176 38 8 
16627 30227 40 7 
8225 40300 50 7 
19920 16069 43 7 
5236 68526 61 12 
34534 7599 41 0 
4434 4518 43 0 
6750 10085 41 0 
27264 22825 40 0 
53866 13313 35 0 
38925 20772 26 0 
28399 15068 23 0 
1682 2320 27 0 
10125 3061 24 0 
7070 7594 23 0 
63391 40774 23 0 
34728 18349 17 0 
102747 34250 30 0 
25669 14280 40 0 
25669 14280 40 0 
4346 3475 38 0 
4346 3475 38 0 
10753 18715 48 0 
4166 3684 53 5 
10651 13037 50 10 
14006 2543 34 10 
8430 4531 20 9 
41035 20101 11 8 
4328 3141 8 7 
10807 7172 16 6 
25339 40925 26 5 
13716 3537 21 4 
1622 12026 27 3 
58587 20314 29 2 
22618 15090 34 1 
16547 8997 41 1 
48543 45750 35 1 
19296 7695 41 0 
56216 18063 41 0 
18219 24397 40 0 
34759 43212 34 0 
22644 6746 34 0 
46983 46405 27 0 
98353 181033 41 10 
19039 23138 44 20 
85272 75079 44 20 
57895 136925 53 20 
29695 34650 53 20 
22660 42446 66 20 
5355 11097 51 20 
53472 48218 54 25 
362402 233579 60 30 
12908 11430 50 35 
10219 4378 43 40 
7520 7453 30 40 
18885 4325 26 39 
5718 4097 35 38 
18760 11585 40 37 
18567 11417 34 36 
19993 13388 35 35 
27599 5550 24 34 
18943 10789 14 33 
15062 10374 24 32 
3913 2495 30 31 
31676 13693 37 30 
36058 12959 38 29 
10362 9578 38 29 
10362 9578 38 29 
8923 10751 34 28 
10139 8078 35 27 
9970 6768 40 26 
6425 9306 35 25 
5610 5913 43 0 
10567 5629 40 0 
9560 6334 41 0 
3704 4610 47 0 
16510 10953 43 5 
2929 14282 51 10 
2912 6525 50 15 
14934 8516 44 0 
8415 11223 51 0 
32080 18276 41 20 
590 859 38 20 
39660 18015 48 0 
21671 15191 47 0 
4129 6648 56 0 
11396 7958 60 0 
