lowBeta highBeta attention velocity
9241 12766 50 10 
33733 17668 54 9,95 
54885 18863 51 9,95 
5694 6668 50 9,95 
914 2927 43 9,95 
24133 22110 47 9,95 
35233 24718 54 9,95 
5250 16157 57 9,95 
16601 18088 66 9,95 
24242 16682 66 11,26003 
5258 4781 54 12,56006 
24203 27605 48 9,95 
20718 14378 34 9,95 
10161 9191 24 9,95 
76651 26207 29 9,95 
20195 23219 34 9,95 
38870 26257 35 9,95 
17838 73745 53 9,95 
17056 20887 60 9,95 
18414 14950 60 9,95 
21290 33292 77 9,95 
49366 26008 57 11,28003 
15448 9695 53 9,95 
14765 23286 56 9,95 
13119 17983 48 9,95 
10980 6648 51 9,95 
5263 6012 51 10 
7108 28325 50 9,95 
10469 35895 56 9,95 
2434 3172 54 9,95 
14465 45534 56 9,95 
7773 3337 51 9,95 
6589 21465 54 9,95 
17710 8971 54 9,95 
6102 1905 44 9,95 
56488 69434 51 9,95 
16336 36803 41 9,95 
15241 37187 70 9,95 
12125 11505 69 10 
8547 13829 75 10,76002 
27044 29862 64 12,02005 
11001 9988 53 13,26007 
18554 24977 50 9,960062 
5358 16244 50 9,95 
6928 10807 56 9,95 
15424 18250 47 9,95 
23213 28018 50 9,95 
20999 19531 50 9,95 
6361 37459 51 9,95 
2625 5769 56 9,95 
21814 16472 44 9,95 
