run;lowBeta;highBeta;attention;velocity;timestamp(s)
1;2620;3973;38;10;0
1;5620;7959;27;9,95;0,4616969
1;10793;15467;35;9,95;1,479942
1;3396;12864;35;9,95;2,465917
1;13261;13791;43;9,95;3,436061
1;14302;14750;53;9,95;4,441306
1;4978;24842;57;9,95;5,453002
1;12142;20141;53;9,95;6,412246
1;15160;14484;41;9,95;7,440238
1;5269;15573;17;9,95;9,406563
1;19241;13684;23;9,95;10,39792
1;8418;37316;56;9,95;11,38388
1;6855;4696;74;9,95;12,42213
1;6725;8085;78;11,30003;13,35991
1;4716;4302;74;12,70006;14,35456
1;4137;12454;54;14,1601;15,37868
1;8211;8944;50;10,36008;16,36432
1;10029;24718;56;9,95;17,34242
1;18458;12954;53;9,95;18,35063
1;14120;24171;57;9,95;19,34387
1;10423;10700;56;9,95;20,35288
1;11547;12260;47;9,95;21,3463
1;10618;19229;51;9,95;22,35034
1;9151;6353;41;9,95;23,34743
2;26855;20404;23;10;0
2;2354;3514;29;9,95;0,2265672
2;4808;5562;29;9,95;1,182272
2;5611;12034;43;9,95;2,195648
2;3775;1711;27;9,95;3,185057
2;6419;11095;26;9,95;4,152071
2;6253;17396;41;9,95;5,145742
2;1375;1556;34;9,95;6,13131
2;17675;14804;53;9,95;7,185167
2;6196;6551;66;9,95;8,170207
2;1722;12641;67;11,44003;9,165795
2;2244;5356;75;12,86007;10,12506
2;4012;4562;75;14,4201;11,13934
2;6777;7033;77;0,02;12,16038
2;9017;9902;56;0,02;13,13949
