attention meditation delta theta velocity
34 50 82612 85187 0 
40 51 74111 13253 0 
41 38 430242 244400 0 
30 30 574328 989515 0 
23 30 1761074 539698 0 
24 27 1575166 612144 0 
20 34 797475 348645 0 
21 40 1731518 490229 0 
27 51 174965 53011 0 
21 50 1039208 71578 0 
38 48 1989224 874794 0 
35 44 1934969 718789 0 
48 41 910469 184309 0 
60 37 1616033 362846 0 
50 43 442425 24208 0 
64 56 1143172 55598 0 
61 63 839347 109416 0 
61 74 634361 52404 0 
70 75 559398 43498 0 
60 77 1127854 82352 0 
60 81 601005 3529 0 
56 67 900804 1377725 0 
47 66 371753 21596 0 
51 48 823587 359183 0 
44 34 2084515 109964 0 
50 47 54790 27252 0 
51 57 36474 50243 0 
56 80 657564 30694 0 
57 87 158036 16937 0 
47 83 341732 348768 0 
44 61 1068089 215524 0 
29 37 698485 432763 0 
37 41 123225 12116 0 
