attention meditation delta theta velocity
69 61 1307126 179888 0 
56 38 2032541 836547 0 
54 48 880054 114228 9,995003 
50 64 284610 44572 9,995003 
51 81 671659 322931 9,995003 
47 74 2937212 687222 9,995003 
67 56 1042431 92755 9,995003 
66 57 867325 161681 10,05818 
74 61 1321332 157921 10,13086 
60 67 35066 48092 10,27268 
43 87 180583 29625 9,995003 
38 87 1332652 171513 9,995003 
27 91 632894 133818 9,995003 
34 80 1353271 243595 9,995003 
29 75 830637 171116 9,995003 
35 78 279793 26092 9,995003 
37 66 1539331 1851423 9,995003 
41 74 74388 6361 9,995003 
34 74 989434 182590 9,995003 
27 61 85900 102870 9,995003 
40 67 1055949 187996 9,995003 
43 69 328469 29713 9,995003 
43 61 868214 260659 9,995003 
48 63 993109 1578437 9,995003 
37 64 155061 265765 9,995003 
17 56 227276 382571 9,995003 
21 44 384098 907323 9,995003 
20 56 802944 151151 9,995003 
44 67 1076278 121305 9,995003 
60 87 942195 39100 9,995003 
64 69 248654 717154 9,995003 
60 61 406597 308664 10,16029 
53 48 556618 201598 9,995003 
53 41 359087 42918 9,995003 
57 63 738763 138838 9,995003 
43 60 119616 38527 9,995003 
40 67 1814910 168309 9,995003 
27 77 248621 58307 9,995003 
34 67 652538 791784 9,995003 
34 67 1421233 67498 9,995003 
47 81 1650703 70509 9,995003 
51 84 638758 76547 9,995003 
37 80 1835917 1198659 9,995003 
38 69 428502 98365 9,995003 
27 70 833259 481332 9,995003 
34 69 785103 134712 9,995003 
43 80 672266 196086 9,995003 
53 77 2131213 238106 9,995003 
57 63 70333 55000 9,995003 
63 69 1204274 100237 9,995003 
67 61 1565068 335560 10,13694 
77 69 576782 205115 10,28811 
87 78 570889 39740 10,43317 
78 66 1601953 254443 11,24548 
91 70 170132 57898 11,40518 
83 74 825538 73768 12,28088 
50 75 419844 560541 13,16447 
35 64 488459 106674 11,42801 
40 67 156503 29848 10,63436 
66 60 1803230 365269 9,995003 
66 57 682587 993593 10,14201 
70 81 1635554 43396 10,28811 
70 80 2006789 412593 10,44779 
80 84 1366606 223374 10,6004 
81 100 1157175 58873 9,995003 
84 96 868944 556032 10,78936 
88 100 2234388 354791 11,60036 
88 100 1346953 236938 12,5411 
88 100 1062089 54955 13,50403 
90 100 708981 89370 14,59185 
100 90 1943947 357842 15,71223 
100 83 1301012 98696 16,87639 
88 66 326390 229185 18,29065 
69 57 2243229 659077 19,76406 
26 41 1997646 374776 20,31315 
48 44 2263364 482198 18,98767 
57 50 1521499 60127 17,6867 
69 61 1043109 1051522 16,53261 
78 64 707392 292494 16,77578 
63 75 724468 40655 17,01403 
77 75 1563422 49354 17,2522 
91 80 1364925 131917 17,4972 
90 78 2805393 887670 18,81242 
97 77 239605 21284 20,19621 
78 70 1759890 159154 0 
69 64 287350 43568 10,08739 
47 54 1369008 629396 10,39359 
50 56 2956226 284622 9,995003 
47 75 271535 54408 9,995003 
53 80 629304 209786 9,995003 
56 69 1070248 66290 9,995003 
60 56 660040 235082 0 
63 47 923725 78781 9,995003 
57 38 825120 262634 10,14709 
44 41 1272352 270841 9,995003 
37 29 1178593 151286 9,995003 
17 38 351267 180470 9,995003 
27 67 870675 82441 0 
34 53 2091111 225645 0 
29 63 326629 146629 0 
64 60 693505 72579 0 
24 27 1694535 1396685 0 
16 13 181012 83218 0 
26 14 453354 18297 0 
26 21 347619 42829 0 
43 23 33296 47700 0 
41 34 233847 31710 0 
48 51 210939 17868 0 
47 53 1073253 168180 0 
53 51 1640025 217522 0 
51 56 30561 23337 0 
38 23 609176 178543 0 
29 26 186661 22249 0 
13 26 154206 33752 0 
14 23 75876 16327 0 
24 41 302979 37872 0 
51 37 227971 18098 0 
57 54 155493 99752 0 
27 50 550668 45499 0 
26 40 453197 98790 0 
34 47 1308208 211299 0 
40 47 295813 9525 0 
40 40 138804 59703 0 
40 60 166806 51589 0 
44 66 252589 45528 0 
43 51 152319 26894 0 
30 48 813928 283763 0 
26 38 1002357 847968 0 
27 35 161849 46363 0 
23 40 1633457 90008 0 
23 30 925861 253972 0 
23 44 858758 29702 0 
21 70 149917 45040 0 
27 48 1335856 200814 0 
51 60 14299 3418 0 
64 37 733331 170224 0 
63 30 243667 23296 0 
67 51 747190 549161 0 
64 38 295055 85589 0 
56 50 598935 21551 0 
57 38 59105 24380 0 
53 38 143963 35595 0 
38 41 1060124 247665 0 
37 24 139089 12945 0 
43 37 502433 42772 0 
56 29 193067 29064 0 
63 23 278134 53132 0 
69 40 62772 13143 0 
53 34 1252575 110828 0 
54 38 269351 15334 0 
50 53 46761 91683 0 
70 63 13992 19068 0 
70 34 348144 132324 0 
77 30 80323 15138 0 
87 57 199934 15740 0 
100 87 61031 26914 0 
90 67 116409 22066 0 
87 53 166051 36067 0 
75 53 453740 19119 0 
83 54 15416 3689 0 
88 80 138989 14833 0 
96 81 26522 9534 0 
100 75 13804 17900 0 
94 78 32150 40590 0 
90 64 140114 62249 0 
67 53 350759 356197 0 
24 27 777954 207312 0 
24 16 938417 407011 0 
29 11 318110 40788 0 
21 21 1066546 1040275 0 
8 21 1074636 1634482 0 
8 21 1110252 1612177 0 
10 17 1228649 152409 0 
20 27 159788 9987 0 
21 44 565322 744217 0 
21 44 809275 19798 0 
26 41 1397603 244120 0 
41 38 3273436 280802 0 
40 21 513182 50390 0 
30 47 342290 62996 0 
30 51 1050787 149258 0 
35 48 180655 104729 0 
41 56 523118 134481 0 
50 47 125178 47587 0 
61 48 112170 33074 0 
51 40 566921 163632 0 
44 43 676273 160017 0 
51 43 1245317 159752 0 
53 38 42262 16402 0 
64 60 133318 138623 0 
69 60 626388 33543 0 
60 56 284782 358828 0 
53 51 80232 85658 0 
57 51 847192 329761 0 
57 56 595581 112783 0 
60 54 340363 58893 0 
57 50 85501 66064 0 
54 56 376988 39594 0 
60 38 487266 110110 0 
50 37 718692 220716 0 
43 41 278545 115117 0 
43 30 311430 199547 0 
43 38 194425 24088 0 
29 37 606310 115376 0 
38 37 71021 21705 0 
40 26 707627 226735 0 
41 27 276754 208913 0 
47 23 705903 243286 0 
51 17 228683 137048 0 
63 21 738607 45924 0 
69 24 25166 19983 0 
69 44 430151 190284 0 
60 50 134966 130519 0 
41 66 628978 94834 0 
30 64 408126 159636 0 
41 47 372765 4698 0 
57 41 334420 44893 0 
69 27 767609 103952 0 
67 26 2432141 190456 0 
56 30 486570 94673 0 
47 44 358071 230376 0 
37 38 62245 49191 0 
43 41 1363275 123841 0 
48 26 50677 36879 0 
60 23 1683 8621 0 
70 35 431883 69010 0 
66 54 292056 46871 0 
64 67 33210 1572 0 
56 70 710268 34611 0 
70 70 217745 11076 0 
88 63 15178 7553 0 
70 48 288538 22317 0 
75 44 3472553 234659 0 
51 50 350619 38461 0 
50 38 490678 49656 0 
50 38 1198645 61582 0 
50 38 848841 72107 0 
50 38 1662640 372762 0 
50 38 1040540 54880 0 
47 41 957550 5384 0 
26 38 829627 512300 0 
24 38 443026 50407 0 
24 30 1514267 613446 0 
23 38 42682 2877 0 
47 30 379375 1634 0 
74 40 12956 10345 0 
84 63 179188 11519 0 
57 44 1597709 36888 0 
40 43 1005380 517828 0 
48 51 1057340 14671 0 
63 44 37968 11575 0 
54 40 421170 205498 0 
48 30 131834 39106 0 
47 41 252525 15690 0 
53 35 184283 83022 0 
83 37 272228 20833 0 
94 47 2987 3956 0 
81 34 1112967 189885 0 
75 34 212531 61967 0 
44 56 186095 386055 0 
37 35 1576008 374207 0 
37 40 29508 28097 0 
34 41 883603 123124 0 
30 44 158590 127112 0 
43 60 571631 9449 0 
41 50 211649 41886 0 
48 51 1942775 134326 0 
51 50 429847 324566 0 
51 64 352379 74244 0 
29 40 493404 95423 0 
27 41 569133 62594 0 
26 66 415589 25788 0 
23 64 684133 34820 0 
29 64 166989 98422 0 
41 48 569595 228529 0 
57 44 36552 17971 0 
41 26 201777 90038 0 
41 10 532426 102751 0 
40 17 39873 27966 0 
30 30 49150 29170 0 
41 38 94702 39480 0 
51 60 19496 41611 0 
56 53 257855 178951 0 
67 54 85085 4885 0 
66 64 136361 70345 0 
64 74 729444 12476 0 
63 77 1118846 186489 0 
66 66 166840 9319 0 
61 75 128764 63920 0 
60 75 937379 31711 0 
69 61 22511 30493 0 
56 63 518880 97834 0 
61 30 379638 35696 0 
21 67 597859 53581 0 
44 60 297467 55985 0 
63 53 15367 12094 0 
66 56 33138 23476 0 
96 50 188376 3688 0 
74 54 23747 47696 0 
77 53 766695 32149 0 
60 60 98307 62233 0 
64 54 658051 34614 0 
66 53 1960920 160461 0 
61 60 171534 32617 0 
47 63 952706 290305 0 
60 66 1592462 94787 0 
51 69 310132 93503 0 
53 70 641857 97912 0 
51 66 1051593 228162 0 
51 61 1189066 39797 0 
57 43 170498 68385 0 
63 56 46245 53981 0 
53 51 1499441 210220 0 
48 60 634998 448728 0 
41 43 475366 72406 0 
43 41 885520 152415 0 
47 56 34396 75148 0 
60 61 76813 24236 0 
61 48 904922 73087 0 
64 27 294975 59728 0 
56 35 468272 428015 0 
57 34 444170 361888 0 
60 35 14513 88434 0 
60 35 669067 121334 0 
57 34 1021969 472515 0 
57 51 491390 52412 0 
63 54 855790 65143 0 
57 51 330944 155305 0 
63 63 24191 64957 0 
60 43 83231 103789 0 
53 43 1285718 106947 0 
60 47 69358 17380 0 
56 37 1220666 228460 0 
64 48 1071985 67250 0 
54 60 701165 301478 0 
51 53 49892 101888 0 
34 54 469073 228903 0 
34 44 1433442 312758 0 
44 60 66462 4214 0 
47 66 819914 105652 0 
48 70 84059 28079 0 
50 67 402435 38345 0 
34 74 515917 107476 0 
30 70 498040 99319 0 
26 56 167745 47847 0 
35 56 837614 21396 0 
