run;delta;theta;lowAlpha;HighAlpha;lowBeta;highBeta;lowGamma;highGamma;attention;velocity;currentLife;coins;distance(m);timestamp(s)
1;0,1001631;0,272913;0;1;0,6079211;1;0,6042069;0,4895918;57;2,95;3;0;0,9262518;0,02
1;1;0,1431544;0,0004133333;1;0,2891579;0,6728421;0,5486207;0,2577143;50;2,95;3;0;2,972441;0,7136234
1;0,1055044;0,132037;0;0,1682128;0,4076053;0,1928421;0,1165172;0,2631837;56;3,859999;3;0;6,361642;1,704799
1;0,49165;0,7904217;1;1;1;1;0,4037586;0,4129388;57;4,779998;3;0;10,65137;2,709546
1;0,05796375;0;0,2432133;0,2439362;0,8589211;0,2639474;0,2006897;0,1287755;66;5,839997;3;1;15,8511;3,69172
1;0,09865;0;0,002493333;0,02165957;0,09355263;0,005763158;0;0,01016327;66;3,189991;3;2;20,29315;4,673398
1;0,4078088;0,07654566;0,2674933;0,05872341;0,1098421;0,02686842;0,05317241;0,04579592;50;2,95;3;3;23,35093;5,705973
1;0,3745806;0;0,105;0,7304468;0,2457105;0,08942106;0,08872414;0,05538775;48;4,119999;3;4;26,96167;6,722144
1;0,8202081;0,03059783;1;0,7021489;1;0,3978421;0,6087931;0,2217551;40;5,179998;3;5;31,56446;7,712466
1;0,1813956;0,1222065;0,1027867;0,1270213;0,3299211;0,2985;0,062;0,07085714;37;2,95;3;6;35,48798;8,688365
1;0;0;0;0,02551064;0;0;0,01041379;0;43;2,95;3;7;38,3372;9,654202
1;0;0,1162283;0,1201333;0,1145106;0,06134211;0,1327105;0,3486896;0,09742857;43;4,959998;3;8;46,35695;11,66343
1;0,6552731;0,1482109;0,08389334;0,1491702;0,4828158;1;0,4131035;0,4931837;57;5,899997;3;11;51,7682;12,66897
1;0,05686563;0;0,03006667;0;0,02939474;0,0455;0,04627586;0,01767347;63;6,959996;3;13;58,02933;13,64108
1;0;0,3283826;0,04534667;0,06480851;0,001289474;0,01965789;0,07651724;0,08620408;41;4,059985;3;14;63,77725;14,67021
1;0,1184125;0,01678043;0,12864;0,1587234;0,9093158;0,3633421;0,1478621;0,1462857;54;5,219984;3;15;68,31229;15,65148
1;0,7215756;0,1231217;0,03949333;0,06804255;0,1673158;0,4719474;0,2967931;0,4266531;43;6,279983;3;17;73,93673;16,63342
1;0;0,0008065217;0,63112;0,01957447;0,07702632;0,1934737;1;0,2392245;44;7,339982;3;19;80,74543;17,63269
1;0,5989338;0,1524891;0,9642667;1;0,2526316;0,5318158;0,9540345;0,2922041;57;9,520016;3;24;97,19011;19,58619
1;0,1619806;0,08545218;0,1491733;0,1666809;0,4839737;0,4896316;0,589;0,4695102;60;10,62004;3;27;107,0471;20,5656
1;0,9042088;1;0,6975867;1;1;1;0,5689655;0,8475102;63;7,87003;3;30;116,4046;21,58011
1;0,06123812;0;0,01198667;0;0;0;0;0;63;5,27002;3;32;123,1338;22,59919
1;0,2806744;0,5910717;1;1;0,973079;1;0,6549655;0,3235918;61;2,970017;3;33;127,1394;23,59223
1;1;0;0;0,06442554;0,1654474;0,2699474;0,01248276;0,0195102;81;2,95;3;34;130,0969;24,59457
1;1;0,339137;1;0,6553404;0,7055789;0,8376316;1;0,3604898;75;5,550005;3;36;134,1566;25,55263
1;0,5387763;0,8079283;0,70052;0,1701277;0,5180263;1;1;0,355102;70;3,4;3;36;138,6718;26,54946
1;0,3946081;0,1837739;0,2190533;0,9422128;0,2931053;0,3907368;0,238069;0,07946939;67;2,95;3;36;141,6262;27,53412
1;0,3910594;0,4363174;1;1;1;1;0,8841379;0,8964898;54;2,95;3;37;144,5621;28,52932
1;1;0,07720435;0,2478;0,3287021;0,6761579;0,4311842;0,2911724;0,1259592;57;4,059999;3;38;148,1431;29,54391
1;0,95197;0,01731087;0,03330667;0,01174468;0,5692894;0,2938421;0,4217241;0,08489796;64;5,119998;3;40;152,5786;30,50994
1;0;0,01875;0;0;0,4355;0,03013158;0,03655173;0,001918367;41;2,95;3;42;159,6233;32,5415
1;0,5007931;0,3012609;1;0,373234;0,6623684;1;0,8354828;0,4546939;41;4,059999;3;43;163,1643;33,54306
1;0,07175312;0,02551739;0;0,3104681;0,06615789;0,08657895;0,4893793;0,07367347;30;5,139998;3;43;167,8076;34,55774
1;0,1401594;0,2181826;0,2545333;1;0,4709474;0,6476316;0,9348965;0,4363673;48;2,989995;3;43;171,6582;35,52197
1;1;1;0,3277867;0,4946809;1;0,4438947;0,5869655;0,4322449;41;3,759999;3;43;174,8461;36,47254
