run;lowBeta;highBeta;attention;velocity;currentLife;timestamp(s)
1;9390;11417;37;2,95;3;0,02
1;13399;12756;38;2,95;3;0,6944491
1;69610;13936;37;2,95;3;1,144283
1;1343;2199;20;2,95;3;1,643926
1;17775;20818;23;2,95;3;2,077999
1;1906;2002;34;2,95;3;2,593585
1;694;717;35;2,95;3;3,093533
1;11659;4269;35;2,95;3;3,493881
1;22544;25533;35;2,95;3;3,965217
1;10802;9934;26;2,95;3;4,375823
1;15111;14516;29;2,95;3;4,775588
1;12768;6844;43;2,95;3;6,425508
1;6063;14211;54;2,95;3;7,407499
1;10726;7429;51;2,95;3;8,440204
1;35531;22642;41;2,95;3;10,38917
1;7148;4266;17;2,95;3;11,43854
1;4374;9862;24;2,95;3;12,38814
1;6339;6027;37;2,95;3;13,40504
1;2133;1876;44;2,95;3;14,35379
1;18566;15797;48;2,95;3;15,35307
1;25662;19491;47;2,95;3;16,38598
1;13397;10117;43;2,95;3;17,38547
1;14155;15090;41;2,95;3;18,36811
1;18020;17397;53;2,95;3;19,31752
1;10131;22402;56;2,95;3;20,35036
1;36457;8532;48;2,95;3;21,33333
1;2251;5958;53;2,95;3;23,33306
1;13600;5579;48;2,95;3;24,34842
1;5139;12149;61;2,95;3;25,34766
1;9018;9388;51;4,139999;3;26,29707
1;7076;5196;47;2,95;3;27,31324
1;13843;11270;56;2,95;3;28,29613
1;5589;5070;56;2,95;3;29,29547
1;11475;11501;66;2,95;3;30,29505
1;3239;5120;67;4,159999;3;31,26188
1;9282;8869;56;5,339998;3;32,24393
1;3651;8453;57;2,95;3;33,27761
1;13067;7187;48;2,95;3;34,24293
1;9481;17344;51;2,95;3;35,24232
1;698;3721;50;2,95;3;36,24179
1;5703;7782;40;2,95;3;37,22462
1;4930;4626;35;2,95;3;38,24065
1;31321;10115;34;2,95;3;39,20684
1;11032;14479;37;2,95;3;40,22429
1;5457;3756;37;2,95;3;41,18898
1;77876;40055;43;2,95;3;42,20507
1;1243;2291;43;2,95;3;43,2046
1;201592;61119;50;2,95;3;44,22076
1;17759;43253;54;2,95;3;45,20373
1;17694;7638;50;2,95;3;46,15325
1;14184;40099;50;2,95;3;47,20241
1;41828;32331;47;2,95;3;48,16862
1;76584;55594;47;2,95;3;49,20137
1;12378;4474;34;2,95;3;50,1841
1;6871;29915;35;2,95;3;51,15102
1;57869;35815;24;2,95;3;52,1499
2;11772;27934;63;2,95;3;0,02
2;6109;3158;60;2,95;3;0,5477933
2;11166;33624;75;2,95;3;1,279664
2;516;309;77;2,95;3;2,000561
2;16457;5399;57;2,95;3;2,9165
2;130567;43772;48;5,399998;3;4,91497
2;21506;39873;66;6,559997;3;5,880942
2;18299;14633;66;3,609987;3;6,863781
2;21730;20270;66;2,95;3;7,880648
2;6469;5805;64;2,95;3;8,912712
2;211953;226521;57;2,95;3;9,878828
2;39883;43048;75;4,179999;3;10,86164
2;10467;6030;83;2,95;3;11,89421
2;39470;36849;78;5,950006;3;12,87714
2;47085;12503;60;3,1;3;13,82666
2;45572;28373;54;2,95;3;14,82603
2;216390;106580;56;4,239999;3;15,85878
2;3806;3278;56;5,419998;3;16,84156
2;13436;17461;66;6,639997;3;17,85781
