run;delta;theta;lowAlpha;HighAlpha;lowBeta;highBeta;lowGamma;highGamma;attention;velocity;currentLife;timestamp(s)
1;0,6887731;0,02920652;0,2389867;1;0,3561316;0,2449211;0,2729655;0,158449;66;2,95;3;0,02
1;0,260095;0;0,1730533;0,05931915;0,07605263;0,01336842;0,02189655;0,01277551;54;2,95;3;0,5936729
1;0;0,03232609;0,09568;0,03202128;0,2467632;0,6963684;0,2656896;0,1305714;80;6,339997;3;3,628849
1;0,3128613;1;0,6999466;1;1;1;0,4888276;0,367102;51;3,539989;3;4,575099
1;0,30728;0,231187;0,56496;0,7166383;1;1;0,8736897;0,597347;61;4,719987;3;5,57444
1;1;0,20835;0,3927067;1;1;1;0,8975862;0,703551;81;2,95;3;6,590575
1;0,0705025;0;0,1342;0,3160213;0,8941053;0,4181579;0,08562069;0,4012653;100;8,850018;3;8,53993
1;0,4546206;0,2051978;1;0,9304042;1;1;0,6242414;0,3051021;94;11,85003;3;9,555749
1;0,1559081;0;0,16612;0,1668723;0,1247632;0,1866579;0,09996552;0,148898;87;14,95004;3;10,60447
1;0,84777;1;1;1;1;1;1;1;53;17,75002;3;11,53781
1;0,07215313;0;0,03526667;0;0,05513158;0,08065789;0,1405172;0,0275102;40;18,79004;3;12,53707
1;0,09108938;0,04847391;0,3128933;0,2143192;0,04676316;0,1829737;0;0,01232653;26;15,79008;3;13,53682
1;1;0,3511261;0,6205867;0,3597447;1;1;1;0,3959592;47;12,84007;3;14,5196
1;0;0;0;0;0;0,07839473;0,1376552;0,02273469;63;14,0201;3;15,55233
1;0,7792388;0,4874631;0,2101733;1;0,4394737;0,506;0,7257931;0,4766939;54;11,22009;3;16,51867
1;0,6143956;0,2479283;0,4671867;0,3750638;0,04760526;0,2677895;0,3812414;0,2814694;47;12,40011;3;17,50182
1;0,3219094;0,2565956;0,2280533;1;1;0,6757368;0,5054483;0,3794694;23;13,56014;3;18,50037
1;0,9261469;0,8427109;1;0,892234;1;1;1;0,5838776;7;10,66013;3;19,48363
1;1;0,07578478;0,5040933;0,7112766;0,3348947;0,1646579;0,1274828;0,0982449;4;7,610118;3;20,50181
1;0,2747231;0,2650935;0,04190667;0,2270638;0,7801842;0,09697369;0,2252069;0,06710204;1;4,810107;3;21,51559
1;0,2553819;0;0,02168;0,214766;0,1466316;0,09697369;0,1673103;0,009020409;10;2,95;3;24,51553
1;0,08351062;0,3897239;0,5477734;0,3368511;0,7105526;0,5393947;0,4472069;0,1858367;23;2,95;3;25,47994
1;0;0;0,01662667;0,01785106;0,09392105;0;0;0,05718367;29;2,95;3;26,47965
1;0;0,5968869;0,3717867;0,7138723;0,7921842;0,3467368;0,4261034;0,2156326;16;2,95;3;27,42883
1;0;0,1125935;0,01889333;0,3394894;0,5857369;0,3711053;0,1495517;0,08187755;17;2,95;3;28,42876
1;0;0;0,2930933;0,2427447;0,1322895;0,498421;0,1262759;0,1440816;48;2,95;3;30,46139
1;0;0;0;0,1737872;0,2038421;0,1010526;0,2768966;0,1913061;67;4,099999;3;31,46136
1;0,4205575;0,09657609;0,01033333;0,1264255;0,3150526;0,2653158;0,2554138;0,1175918;64;2,95;3;32,4102
1;0,4319069;0,1009174;0,3743333;0,1688936;0,6544474;0,5635;0,3749655;0,5929388;44;2,95;3;34,39172
1;0,6276869;0,1437609;0,6829333;0,5406383;0,8828948;0,5561053;0,2648965;0,2857959;40;4,239999;3;35,42487
1;0,18102;0;0,1140267;0,02544681;0,1761316;0,03423684;0,04686207;0,02032653;30;2,95;3;36,40742
1;1;0,3624022;0,3849333;0,6854255;0,310921;0,3170263;1;0,3587755;29;2,95;3;37,40694
1;1;0,4386587;0,6589733;0,2510213;0,5030527;0,3021579;0,6087586;0,165102;8;2,95;3;38,40717
1;0;0;0,1181733;0,002404255;0,007078947;0,02831579;0,02365517;0,07155102;11;2,95;3;39,40595
1;0;0,5027196;0,2609333;0,6279149;0,7957895;0,1754211;0,309931;0,1537551;7;2,95;3;41,38805
1;0,5160531;0;0,02052;0,05170213;0;0;0;0;16;2,95;3;42,37095
1;0,7216419;0,2262674;0,5125734;0,5739362;0,9949474;0,3162632;0,3368276;0,4884898;4;2,95;3;43,40377
1;0,02034812;0,1071848;0,20244;0,6264255;0,1764474;0,2394737;0,5286897;0,2615918;44;2,95;3;45,35343
1;0,2242469;0,09041522;0,23248;1;0,7281052;0,2258947;0,06910345;0,3126122;41;4,179999;3;46,35307
1;1;0,4492848;0,5861734;0,7304043;0,2640789;0,9220263;0,5540345;0,1914286;50;5,319998;3;47,36806
1;0;0;0;0,02978723;0,04868421;0,09871053;0,01334483;0,01138776;47;6,479997;3;48,33437
1;0,5280981;0,1532457;0;0,5471489;1;0,6023158;1;0,3718776;57;7,699996;3;49,35046
1;0,9670231;0,5255021;0,3311733;0,4310426;0,7827895;1;0,743138;0,09779592;67;10,10004;3;51,3493
1;1;0,8555478;0,83956;1;1;1;1;0,6447347;64;7,300033;3;52,31552
1;0,464615;0,1673783;0,1216267;0;0,1757105;0,1017105;0,0862069;0,05522449;44;4,350021;3;53,31496
1;0,4858038;0,4712239;0,49988;0,3119787;0,4484737;0,4615789;0,1707931;0,1965306;47;5,55002;3;54,31449
1;1;0,3996283;0,6391467;0,9465957;0,6191053;0,8514473;0,6615173;0,3923265;35;6,670019;3;55,29736
1;0,7371025;0,1970609;0,8146;1;1;0,7491053;1;0,2532245;24;3,770009;3;56,26332
1;0,0442475;0,002847826;0;0,2401277;0,2622631;0,2185263;0,1886896;0,08106122;47;2,95;3;57,26391
1;0;0,0288;0;0;0,06823684;0,085;0,106931;0,02538775;51;4,139999;3;58,27834
1;0,5549769;0,005467391;0,002706667;0,01725532;0,004947369;0,05894737;0,1123103;0,07448979;48;5,299998;3;59,2784
1;0,3866656;0,03416739;0,33388;0,07712766;0,4682368;0,4856053;0,6254483;0,1836327;56;6,279997;3;60,22869
1;0,054195;0,138113;0,04026667;0,5899575;0,2921579;0,4004211;0,3733793;0,1683673;51;7,439996;3;61,26056
1;0,6617538;0;0;0,4628723;0,3407632;0,4668158;0,1704828;0,2723265;75;8,580009;3;62,22656
1;0,02936875;0,3636109;0,4686933;0,1115319;0,4545789;0,2665789;0,4562759;0,4349388;64;5,629997;3;63,25961
1;0;0;0,04696;0,04059574;0,2340263;0,01202632;0,04689655;0,1289388;44;2,95;3;64,20911
1;0;0,05538043;0;0;0,02781579;0,03781579;0,04496552;0,02902041;30;4,139999;3;65,20837
1;0,0642575;0,06248043;0,30884;0,1629149;0,3235526;0,238;0,07041379;0,2216735;10;2,95;3;66,22448
1;0,8145994;0,5099674;0,2049067;1;0,3345263;1;1;0,3491837;34;2,95;3;67,22385
1;1;0,3278413;0,5524667;1;0,1783684;0,8321316;0,2823793;1;47;2,95;3;69,23949
1;0,2034431;0,08753695;0,4309867;0,1237021;0,1463947;0,1312632;0,1384828;0,06012245;38;4,159999;3;70,22326
