run	delta	theta	lowAlpha	HighAlpha	lowBeta	highBeta	lowGamma	highGamma	attention	velocity	currentLife	timestamp(s)		Attention %	Matriz de atenção
1	0,066325	0,461713	0,4779733	0,1759787	0,9456842	0,636921	0,2586896	0,3150204	44	2,95	3	0,02		0,44	0
1	0	0,04177174	0,1264267	0,1434255	0,3888421	0,3371053	0,3244828	0,8133469	44	2,95	3	0,045295		0,44	0
1	0	0,008113043	0,1123733	0,3842979	0,3151316	0,7029474	0,6199655	0,2247347	53	4,019999	3	0,8946415		0,53	0
1	0	0	0,2011067	0,4047021	0,3463421	0,3018947	0,4541379	0,4787755	61	5,179998	3	1,860841		0,61	1
1	0	0	0	0,03531915	0,03718421	0,1340526	0,09410345	0,1665714	63	2,95	3	2,877105		0,63	1
1	0	0,01236739	0	0	0,226	0,09584211	0,1645172	0,1010204	60	2,95	3	3,843581		0,6	0
1	0	0	0,1287867	0,3832766	0,04510526	0,8400526	0,5486207	0,6977551	64	2,95	3	4,809542		0,64	1
1	0	0	0,05426667	0,4321489	0,1911579	0,5595526	0,2817241	0,4113061	66	2,95	3	5,825478		0,66	1
1	0,03720063	0,2085826	0,18132	0	0,3027368	0,4832895	0,2085517	0,422653	60	2,95	3	6,808183		0,6	0
1	0	0	0	0,1317872	0,1448684	0,8521842	0,3320345	0,7132245	70	2,95	3	8,8237		0,7	1
1	0	0	0	0,1545957	0,2072105	0,8385263	0,1775862	0,2533877	83	2,95	3	9,806664		0,83	1
1	0,03380312	0,2837369	0,3437333	0,6429362	0,5031053	0,6811842	0,737931	0,1606939	83	5,950006	3	10,7895		0,83	1
1	0,0970975	0,270187	0,3356933	0,4107872	0,169579	0,7595789	1	0,4371837	78	8,950018	3	11,78944		0,78	1
1	0,0816675	0,4832217	0,4659733	0,229	0,2454737	0,5648685	0,9159655	0,7538368	56	6,000007	3	12,77152		0,56	0
1	0	0	0	0,3779574	0,05718421	0,5807105	0,7976207	0,5481225	51	7,220006	3	13,7878		0,51	0
1	0	0,07640217	0	0,2872766	0,4911053	0,4569474	0,6857241	0,3324082	56	8,440015	3	14,80373		0,56	0
1	0,2532106	0,09886304	1	0,8550426	0,1688158	0,9291053	0,4684828	0,3179592	56	9,600041	3	15,76978		0,56	0
1	0,2476137	0,0427587	0,05246667	0,04248936	0,08397368	0,02152632	0,04148276	0,04591837	51	10,82007	3	16,78597		0,51	0
1	0	0	0,2235067	0,104	0,2018158	0,3618421	0,8438621	0,4420408	43	11,9801	3	17,75302		0,43	0
1	0,05583937	0,4688956	0,15496	0,02395745	0,1277105	0,6806579	0,3577931	0,6544082	44	14,38015	3	19,75104		0,44	0
1	0	0	0	0	0,1898947	0,4942895	0,5007586	0,6846939	69	17,98023	3	22,75011		0,69	1
1	0	0	0,004493333	0,01317021	0,1896316	0,2570526	0,4757241	0,6215102	80	14,93026	3	23,76549		0,8	1
1	0	0	0,01069333	0,106	0,04013158	0,8249474	0,6678621	0,3948571	88	12,13025	3	24,69829		0,88	1
1	0	0	0,00688	0	0,2052105	0,6399474	0,7188621	0,7528571	100	15,18026	3	25,71499		1	1
1	0	0,08116522	0,1593067	0,04504255	0,2434474	0,4355789	0,454069	0,2247347	84	18,18023	3	26,71387		0,84	1
1	0	0	0,2073867	0,1644468	0,5797368	0,3207632	0,888069	0,6554694	83	20,05	3	27,66432		0,83	1
1	0,00996625	0,0496913	0	0,4073192	0,08202632	0,1931053	0,08424138	0,04848979	64	20,05	3	28,72956		0,64	1
1	0	0	0,03617333	0,2107447	0,1606579	0,2771316	1	0,2465306	54	17,10004	3	29,69648		0,54	0
1	0	0,003802174	0	0	0,07486842	0,05807895	0,05544828	0,1593878	50	18,34007	3	30,72893		0,5	0
1	0,208505	0	0,03672	0	0	0,1508684	0,1275862	0,1312653	51	19,4601	3	31,66121		0,51	0
1	0,06454813	0,1542174	0	0,1062553	0,555	0,3369737	1	0,4957551	53	20,02	3	32,69388		0,53	0
1	0	0,0514	0,24288	0,3051064	0,08355263	0,767921	0,7687586	0,7269388	54	20,02	3	33,64343		0,54	0
1	0	0,04742609	0,2022	0,6375532	0,3121053	0,4121579	0,4355173	0,2802449	57	20,02	3	34,67662		0,57	0
1	0	0	0,05310667	0,06938298	0,1976316	0,6196316	0,5360345	0,6886939	61	20,02	3	35,62634		0,61	1
1	0,01898062	0,1230348	0,2632533	0,481234	0,2886842	0,2545263	0,9232414	0,2818775	57	16,90005	3	36,6591		0,57	0
1	0	0,2538087	0,4370667	0	0,471079	0,7295526	0,8348621	0,4608572	51	18,06007	3	37,62511		0,51	0
1	0	0,04151304	0,35024	0,4388723	0,5001842	0,8097895	0,5357242	0,2318367	57	19,2401	3	38,60749		0,57	0
1	0	0	0,3468133	0,05755319	0,8266316	0,5341579	0,9741724	0,3657551	56	20,02	3	39,64055		0,56	0
1	0,1292425	0	0	0,03540425	0,1655	0,4640263	0,5616897	0,3619184	70	20,02	3	40,58966		0,7	1
1	0	0	0,29208	0,1331915	0,3511053	0,6097369	1	0,6372653	78	17,05005	3	41,5735		0,78	1
1	0	0	0	0	0,07263158	0,08681579	0,1482759	0,1286939	78	13,90005	3	42,62184		0,78	1
1	0,1947937	0,3418196	0,5353333	1	0,1642105	0,7547368	0,7648966	0,3710204	66	11,00004	3	43,588		0,66	1
1	0,08696187	0,09600218	0,2498133	0,07465957	0,5031316	0,5256842	0,9963793	0,6985714	60	8,000031	3	44,58792		0,6	0
