bonus;lowBeta;highBeta;meditation;currentProgress;timestamp(s)
1;7295;7335;48;100;0
1;7291;17839;44;0;0,1598707
1;9697;4801;47;0;0,966801
1;46691;34946;54;10;1,960081
1;9961;14647;54;10;3,95199
1;6599;4189;50;8;4,882293
1;2473;3894;21;6;5,934775
1;3572;19515;34;4;6,925743
1;3446;4387;38;2;8,917913
1;8635;5233;53;12;9,911309
1;9442;8938;54;22;10,90355
1;93212;138933;47;20;12,89757
1;22857;9504;51;30;13,891
1;3767;7309;44;28;14,82747
1;5256;6093;53;38;15,88512
1;5523;16433;57;48;16,8792
1;6699;3503;61;58;17,88197
1;3890;1479;51;68;18,87578
1;9899;3443;53;78;19,80616
1;1951;18005;51;88;20,86955
1;2968;6008;40;86;21,86453
1;10006;10824;47;84;22,79329
1;3442;6626;57;94;23,8499
