attention meditation delta theta velocity
0 0 701278 638126 0 
0 0 120644 13899 0 
0 0 572010 105778 0 
0 0 1554807 1389585 9,995003 
0 0 1748095 61956 9,995003 
0 0 18740 196319 9,995003 
0 0 197943 336971 9,995003 
0 0 1252069 683804 9,995003 
0 0 1306159 262950 9,995003 
0 0 732058 80100 9,995003 
0 0 543696 127627 9,995003 
38 53 1156478 141435 9,995003 
43 61 850405 42994 9,995003 
47 60 2288120 620377 9,995003 
44 70 401999 65964 9,995003 
48 67 716143 60481 9,995003 
27 51 67991 73849 9,995003 
20 41 247498 183607 9,995003 
14 27 747427 320844 9,995003 
13 3 184353 262224 9,995003 
16 10 929036 1263507 9,995003 
23 26 461607 43515 9,995003 
23 26 746944 143193 9,995003 
20 48 379934 30661 9,995003 
17 54 980932 111670 9,995003 
14 44 1180758 173159 9,995003 
17 51 719901 73375 9,995003 
24 48 675980 39335 9,995003 
37 40 94831 32574 9,995003 
29 51 1089813 118194 9,995003 
29 51 714671 655032 9,995003 
0 0 715959 287250 0 
0 0 1028253 339223 0 
0 0 233314 83451 0 
0 0 174462 77227 0 
0 0 121225 73254 9,995003 
0 0 1235793 794267 9,995003 
0 0 764856 149678 9,995003 
0 0 840961 225832 9,995003 
0 0 750166 595368 9,995003 
30 48 971052 542848 9,995003 
1 94 518132 74816 9,995003 
7 100 2083428 366815 9,995003 
37 69 895542 279538 9,995003 
74 53 1840669 201398 9,995003 
83 44 347950 42583 10,17045 
96 57 1559918 122170 11,07245 
100 64 1655539 454415 12,0484 
100 64 1220825 62929 13,15634 
97 66 2025923 237405 14,35898 
97 66 206469 43466 15,62462 
97 66 206 102 16,84954 
64 75 2248998 675130 18,3714 
64 75 672 716 18,68269 
64 75 220314 24208 18,98785 
64 75 788465 137153 19,68394 
64 75 77590 45437 20,06958 
64 75 2527257 467726 20,44846 
61 100 1661332 103467 20,83033 
61 100 1338077 583331 21,18751 
61 100 242412 200639 21,56806 
61 100 609301 52445 21,93132 
70 96 622624 196993 22,29846 
70 96 193518 52560 23,00521 
70 96 16651 15111 23,36228 
70 96 461558 157913 23,71539 
70 96 1963915 42217 24,07384 
70 96 1508459 443460 24,8667 
70 96 694798 251089 25,29058 
60 53 549960 688454 0 
54 51 805541 98440 0 
57 43 904650 206196 9,995003 
60 44 449542 219530 9,995003 
43 41 468770 82569 9,995003 
66 51 2058037 283757 9,995003 
54 38 792052 242698 10,1786 
38 34 533315 287344 9,995003 
64 30 286111 134804 9,995003 
51 21 2812932 728091 10,17758 
66 24 2094886 299420 9,995003 
94 27 569316 83060 10,17249 
84 26 769217 315460 10,01 
84 24 1475497 1418757 10,02001 
100 24 995008 39918 12,04349 
81 30 1186514 253173 13,15098 
100 41 498230 27282 14,42506 
84 43 329985 38232 15,82256 
77 40 126090 136982 17,29484 
77 40 1257060 584566 17,6231 
77 40 476346 73895 17,94681 
77 40 1021492 379781 10,17249 
77 40 834552 236610 10,17554 
77 40 531816 389238 10,53382 
77 40 983772 587626 10,73483 
77 40 1099068 730764 10,91563 
77 40 606200 130020 11,10946 
77 40 206709 13823 11,29431 
77 40 193769 24944 11,47076 
77 40 96949 100484 11,67212 
91 29 863414 15155 10,05013 
91 29 702423 158007 10,87602 
91 29 513947 241670 11,44489 
91 29 897982 264824 11,44489 
91 29 1072837 873040 11,44489 
91 29 2053794 480575 11,44489 
