reward;lowBeta;highBeta;attention;currentProgress;timestamp(s)
1;2503;4349;37;0;0,02
1;9165;23519;54;0;0,0808254
1;7024;4800;51;0;0,9970399
1;7639;9139;60;0;1,946144
1;42917;22455;51;0;2,979131
1;11628;32662;44;0;3,945623
1;47216;22000;38;0;4,927792
1;5139;5181;29;0;5,927135
1;11699;18337;51;0;6,943753
1;15199;8045;50;0;7,943194
1;5834;19986;64;10;8,926396
1;14800;34991;83;20;9,958729
1;16047;18190;81;30;10,9245
1;13385;8990;80;40;11,89104
1;8640;17711;80;40;12,8903
1;6907;18107;78;50;13,92284
1;8484;12122;77;60;14,88951
1;2395;11789;78;70;15,87247
1;17166;24229;77;80;16,85481
1;13154;12309;60;78;17,87059
1;21333;17790;54;76;18,83696
1;1991;3842;53;74;19,83669
1;9652;18928;64;84;20,81974
1;6690;9884;75;94;21,85205
1;12712;14018;77;100;22,81859
1;6322;13916;84;100;23,80103
1;19930;55185;66;100;24,8513
1;11142;1944;66;100;25,81684
2;17518;7645;29;0;0,02
2;4182;7420;23;0;0,5961308
2;2835;2665;21;0;1,595115
2;10129;25241;34;0;2,611454
2;27185;33059;43;0;3,561353
2;13328;14360;48;0;4,593836
2;7007;3799;47;0;5,592957
2;11523;13146;47;0;6,592693
2;5648;14520;40;0;7,575609
2;6585;2642;40;0;8,574586
2;3124;8697;44;0;9,541286
2;12456;4338;38;0;10,55672
2;2653;4031;35;0;11,52316
2;14798;21463;40;0;12,55593
2;6471;2989;40;0;13,52231
2;26221;36457;44;0;14,5218
2;16429;21211;47;0;15,48784
2;4500;1493;34;0;16,50406
2;5886;4009;26;0;17,50334
2;59548;20237;1;0;19,5027
2;14347;8196;14;0;20,4848
2;3168;1615;8;0;21,46831
2;270;794;3;0;22,50072
2;21635;8612;4;0;23,45028
2;3387;8584;1;0;24,48297
2;20436;22623;3;0;25,46536
2;15236;21738;8;0;26,48158
2;11198;3682;4;0;27,4317
2;7429;9555;7;0;28,43088
2;1965;3364;4;0;29,41323
2;4254;3782;10;0;30,42973
2;9913;15451;21;0;32,39537
2;9894;17963;16;0;33,37805
2;44710;5503;13;0;34,37714
2;16703;12468;27;0;35,42662
2;4577;8965;20;0;36,42606
2;9061;16353;35;0;37,3922
2;48193;12214;24;0;38,40848
2;60883;13560;8;0;39,37458
2;30000;5979;13;0;40,39112
2;5076;10121;10;0;41,39045
2;8589;6364;20;0;42,38978
2;14504;7214;35;0;43,35564
2;3909;4525;43;0;44,32221
2;3290;4189;38;0;45,32131
2;5587;5506;44;0;46,33759
2;4443;7675;43;0;47,32061
2;2769;14037;53;0;48,35276
2;7135;2373;44;0;49,3194
2;73697;66213;44;0;50,30209
2;25029;26547;44;0;51,3349
2;1621;1724;44;0;52,28401
2;3003;1745;47;0;53,2839
2;17449;13367;53;0;54,28354
2;4845;2979;34;0;55,26628
2;9730;14770;51;0;56,26561
2;7454;10416;56;0;57,29797
2;1808;3060;56;0;59,26395
2;12094;8200;51;0;60,26335
2;6919;6251;37;0;61,26283
2;14777;27391;30;0;62,24569
2;3813;7630;24;0;63,21163
2;2501;4638;16;0;64,21113
2;4284;3934;20;0;65,21075
2;60921;12614;27;0;66,2101
2;3868;942;17;0;67,20919
2;4177;3886;24;0;68,20885
2;6772;16318;38;0;69,19186
2;14753;9316;38;0;70,20776
2;14383;11065;53;0;71,20747
2;5561;5910;48;0;72,17356
2;13550;15957;38;0;73,17298
2;29678;11288;40;0;74,17242
2;6948;8426;23;0;75,20536
2;4307;9550;26;0;76,1552
3;8895;16112;43;0;0,02
3;27329;16999;37;0;0,6140675
3;18374;13121;30;0;1,597354
3;5075;2547;24;0;2,596646
3;25894;8348;14;0;3,562661
3;21835;9680;16;0;4,595051
3;7764;6780;26;0;5,594711
3;4922;4073;34;0;6,577808
3;3747;4641;51;0;8,543396
3;1129;1139;38;0;9,576264
3;7292;12562;34;0;10,57516
3;3417;7880;35;0;11,5421
3;29190;15118;24;0;12,57408
3;7709;8526;34;0;13,52423
3;5794;3084;35;0;14,50639
3;17002;16499;41;0;15,52256
3;3963;1355;43;0;16,55524
3;8580;2722;30;0;17,53846
3;2380;8687;35;0;18,48941
4;10208;4770;41;0;0,02
