lowBeta highBeta attention currentProgress 
7845 3281 0 0 
89467 32499 0 0 
79798 44302 0 0 
4 9 0 0 
15536 33172 0 0 
63484 32839 0 0 
31235 19548 0 0 
26388 17055 0 0 
24430 10643 0 0 
12584 6340 0 0 
43884 107525 0 0 
45118 16892 0 0 
9286 15493 0 0 
19325 16305 54 0 
12766 8178 60 0 
20795 5626 54 0 
2332 3443 47 0 
43903 59206 51 0 
4622 3120 51 0 
22621 12321 34 0 
29249 15313 34 0 
5461 2124 34 0 
68050 33929 34 0 
1181 589 34 0 
8604 11677 24 0 
48718 20608 14 0 
21224 5870 1 0 
9477 8498 11 0 
19908 6669 7 0 
6433 8742 26 0 
29299 24110 21 0 
23756 10205 1 0 
10579 18372 1 0 
11184 13299 1 0 
33188 11331 21 0 
22736 13930 44 0 
10761 2765 40 0 
10171 4446 37 0 
22544 5748 43 0 
5034 12101 43 0 
56821 25729 37 0 
4440 3667 30 0 
17023 5323 8 0 
47129 23982 70 0 
28495 82131 81 0 
28611 17548 78 0 
38407 16094 60 0 
2104 1374 38 0 
46171 50948 34 0 
9805 9363 26 0 
56470 27692 24 0 
10551 12879 35 0 
67476 28587 24 0 
4260 4416 40 0 
9028 2674 48 0 
88758 34512 44 0 
31131 22083 34 0 
11577 20357 27 0 
4531 2914 30 0 
3111 1858 38 0 
16841 10348 51 0 
10361 10563 40 0 
96903 53308 51 0 
78945 51470 54 0 
22505 10417 60 0 
26109 11538 64 10 
8299 26000 63 20 
22990 7293 77 30 
44082 8957 69 40 
11722 4049 77 50 
6455 7581 69 60 
56790 30958 69 60 
41491 17528 75 70 
83933 32561 88 80 
13869 22035 94 90 
70768 75849 100 100 
2579 3273 87 100 
2718 4193 80 100 
44301 49746 67 100 
5667 28124 57 100 
29081 24529 57 100 
5509 6724 47 100 
24532 67031 48 100 
25601 6011 43 100 
4011 9598 61 100 
52320 23618 24 0 
86455 103801 37 0 
5870 4859 66 0 
52220 32800 90 10 
79648 43936 91 20 
11497 10717 87 25 
8381 8358 70 30 
24069 11952 48 30 
16769 11847 35 29 
4325 6708 38 28 
83575 61615 57 27 
8828 4223 66 27 
4624 1978 61 27 
115836 48987 44 0 
