run;lowBeta;highBeta;attention;velocity;currentLife;timestamp(s)
1;28122;24970;29;4,95;3;0,02
1;14678;21289;29;4,95;3;0,6498883
1;31859;13979;23;4,95;3;1,582755
1;2883;5566;35;4,95;3;2,04546
1;114096;55614;48;4,95;3;2,917178
1;6742;4322;67;4,95;3;3,376221
1;17207;18288;61;6,579998;3;4,159814
1;8372;11784;61;8,640012;3;5,169129
1;2563;2784;61;10,66006;3;6,137575
1;77630;15081;41;12,6601;3;7,137862
1;17275;20659;44;7,660085;3;8,146738
1;12210;14982;43;4,95;3;9,11524
1;27710;22593;44;4,95;3;10,09701
1;22124;25980;60;4,95;3;11,10251
1;5005;2303;63;4,95;3;12,09047
1;11943;20268;57;7,079998;3;13,1129
1;25299;13161;53;4,95;3;14,09398
1;12956;19579;48;4,95;3;15,06168
1;2758;1979;41;4,95;3;16,0732
1;122705;51695;29;4,95;3;18,08265
1;80135;68033;34;4,95;3;19,0368
1;15370;11451;41;4,95;3;20,07077
1;35114;68942;56;4,95;3;21,04421
1;318020;173268;60;4,95;3;22,04764
1;6868;9757;50;4,95;3;24,02733
1;62623;26802;35;4,95;3;25,01847
1;68485;84879;37;4,95;3;26,03258
1;34161;53819;44;4,95;3;27,03539
1;1878;1976;44;4,95;3;28,03814
1;15121;8492;48;4,95;3;29,02227
1;15989;4911;41;4,95;3;30,02585
1;1351;1495;26;4,95;3;31,01364
1;7298;8508;26;4,95;3;32,00766
1;77455;34869;29;4,95;3;32,98519
1;43581;19067;30;4,95;3;33,98562
1;55134;41699;40;4,95;3;34,96983
1;41826;47300;43;4,95;3;35,98909
1;23786;12165;44;4,95;3;36,999
1;103842;30342;47;4,95;3;37,98755
1;80017;101245;47;4,95;3;38,97533
1;13006;50166;47;4,95;3;39,97685
1;50693;13652;47;4,95;3;40,96432
1;1;0;47;4,95;3;41,97019
1;5;7;47;4,95;3;42,9217
1;5838;18971;38;4,95;3;44,95383
1;5288;17187;47;4,95;3;45,94426
1;7155;8852;50;4,95;3;46,92107
1;17372;20828;69;4,95;3;47,92551
1;3679;4580;51;11,98009;3;49,19301
1;19403;7226;40;8,380075;3;50,05407
1;2120;6831;40;6,780068;3;50,44158
1;2529;8016;37;4,95;3;50,97746
1;6741;9330;40;4,95;3;51,99462
1;29679;16468;48;4,95;3;53,01694
1;15169;10944;44;4,95;3;53,95776
1;13455;6045;40;4,95;3;54,97997
1;16485;6504;30;4,95;3;55,97188
1;14144;15730;24;4,95;3;56,93813
1;4199;8504;35;4,95;3;57,95855
1;37494;32841;47;4,95;3;58,94759
1;32501;40684;53;4,95;3;59,94285
1;22074;17944;53;4,95;3;60,9523
1;39438;10007;50;4,95;3;61,93821
1;38060;20099;34;4,95;3;62,90449
1;8296;2612;24;4,95;3;63,91783
1;12549;7285;14;4,95;3;64,8942
1;51963;26645;16;4,95;3;65,87588
1;67822;144392;26;4,95;3;66,89989
1;2919;4176;26;4,95;3;67,90561
1;17067;4579;27;4,95;3;68,88561
1;22607;33604;26;4,95;3;69,89534
1;14754;19267;17;4,95;3;71,88363
1;17382;10363;10;4,95;3;72,8914
1;2249;5043;8;4,95;3;73,87831
1;2415;7113;41;4,95;3;75,83869
