lowBeta highBeta attention velocity
29531 7939 30 10 
174502 173526 34 9,95 
20366 21714 37 9,95 
16706 17416 35 9,95 
45976 16950 29 9,95 
63471 21984 14 9,95 
35228 18629 10 9,95 
50309 35905 20 9,95 
53934 35159 29 9,95 
6901 6356 27 9,95 
17317 19646 47 9,95 
863 3198 50 9,95 
27065 9736 40 9,95 
31582 54285 44 9,95 
23405 15090 34 9,95 
13836 6192 21 9,95 
29749 31994 29 9,95 
16185 8701 24 9,95 
10277 10298 37 9,95 
15186 50178 47 9,95 
27566 29736 27 9,95 
77947 20887 16 9,95 
7511 4256 14 9,95 
21763 25886 8 9,95 
4040 2366 21 9,95 
56949 62336 37 9,95 
181226 130634 41 9,95 
17879 19297 37 9,95 
205662 121594 34 9,95 
122944 25281 26 9,95 
53397 36059 21 9,95 
12537 5275 30 9,95 
75137 111817 34 9,95 
1460 1410 24 10 
135481 45253 21 9,95 
96562 108958 21 9,95 
34220 24468 20 9,95 
47037 12160 17 9,95 
51971 13760 20 9,95 
6312 3838 11 9,95 
4550 6654 20 9,95 
5136 6461 35 9,95 
42213 44619 47 9,95 
32494 34620 57 9,95 
4986 4850 48 9,95 
24261 9769 24 9,95 
32277 14386 17 9,95 
22048 19266 16 9,95 
6700 3142 8 9,95 
44139 24683 16 9,95 
28481 10058 8 9,95 
6663 10875 11 9,95 
25839 5066 11 9,95 
1538 4815 16 9,95 
21355 6795 17 9,95 
2782 1316 10 9,95 
10504 2958 3 9,95 
13046 8285 1 9,95 
718 947 1 9,95 
1487 468 1 9,95 
4021 5043 1 9,95 
43673 19182 1 9,95 
4444 703 1 9,95 
5323 1255 1 9,95 
34154 13264 1 9,95 
2252 1005 1 9,95 
3489 752 1 9,95 
8780 5273 1 9,95 
11845 3898 1 9,95 
5256 2036 1 9,95 
3347 3857 1 9,95 
6222 8680 1 9,95 
1803 680 1 9,95 
23641 41237 1 9,95 
17454 8762 10 9,95 
6521 3852 13 9,95 
22340 16265 14 9,95 
29870 12706 3 9,95 
35779 20384 1 9,95 
5496 3919 1 9,95 
255 940 10 9,95 
48703 37578 14 9,95 
7412 8413 20 9,95 
4640 2393 24 9,95 
1595 723 10 9,95 
37309 19408 11 9,95 
2842 3415 4 9,95 
6977 5868 8 9,95 
10533 7297 20 9,95 
5415 1481 21 9,95 
11889 7948 34 9,95 
4159 1791 34 9,95 
58004 37253 41 10 
120834 40035 41 9,95 
20033 4260 26 9,95 
93572 60434 23 9,95 
12856 31163 23 9,95 
8161 11795 24 9,95 
20094 10252 40 9,95 
21787 10741 61 10 
24029 13661 56 9,95 
26348 4886 41 9,95 
