run;lowBeta;highBeta;attention;velocity;currentLife;timestamp(s)
1;9671;5484;60;8,95;3;0,02
1;5826;8096;47;8,95;3;1,092097
1;6934;5719;48;8,95;3;2,094488
1;3572;9153;50;8,95;3;3,072982
1;14368;6518;57;8,95;3;4,089144
1;6906;3867;54;8,95;3;5,072264
1;4840;13639;54;8,95;3;6,088271
1;2599;1240;38;8,95;3;7,037579
1;5584;23850;63;8,95;3;8,053931
1;19676;3975;70;10,08002;3;9,037865
1;5194;6548;64;11,18005;3;10,02067
1;9829;10649;80;12,30008;3;11,02022
1;3848;4693;61;9,500065;3;12,01927
1;5972;6027;50;10,56009;3;12,96893
1;11123;8826;53;8,95;3;14,00166
1;5377;43361;74;8,95;3;15,00101
1;6299;8440;75;10,14003;3;16,00063
1;13144;18633;91;11,22005;3;16,96687
1;9467;4150;70;14,02006;3;17,96657
1;7613;4001;38;15,18009;3;18,98364
1;17112;7536;35;12,33008;3;19,96484
1;13440;9398;23;9,430066;3;20,96392
1;3326;9180;35;8,95;3;21,96323
1;12717;6316;34;8,95;3;22,96303
1;7775;7045;26;8,95;3;23,92922
1;4048;9361;29;8,95;3;24,945
1;8596;7652;30;8,95;3;25,94472
1;8246;12737;54;8,95;3;26,9269
1;9146;6251;56;8,95;3;27,94287
1;4237;6007;60;8,95;3;28,90931
1;8069;15193;66;8,95;3;29,94191
1;2095;6893;56;10,16003;3;30,90833
1;5978;11184;63;8,95;3;31,92408
1;8312;14045;64;10,20003;3;32,9236
1;6930;6029;53;11,38005;3;33,90658
1;9461;9794;53;8,95;3;34,90585
1;2651;6882;48;8,95;3;35,87167
1;5885;5837;41;8,95;3;36,85493
1;7609;2759;30;8,95;3;37,87079
1;5733;13420;29;8,95;3;38,8707
1;7089;5627;21;8,95;3;39,83652
1;10378;8686;21;8,95;3;40,85255
1;6138;7270;34;8,95;3;41,81879
1;4520;5261;37;8,95;3;42,85257
1;4035;6007;43;8,95;3;43,802
1;8032;8547;47;8,95;3;44,85101
1;5750;6342;38;8,95;3;45,78375
1;4874;10760;38;8,95;3;46,80223
1;4112;8703;50;8,95;3;47,78297
1;13851;7851;48;8,95;3;48,79939
1;6789;7524;51;8,95;3;49,76442
1;6242;10607;53;8,95;3;50,79736
1;13758;13413;44;8,95;3;51,78084
1;8917;10073;47;8,95;3;52,76391
1;22447;14867;47;8,95;3;53,74643
1;5148;6431;44;8,95;3;54,77937
1;28656;7783;48;8,95;3;55,72854
1;5259;4390;38;8,95;3;56,72821
1;8945;9952;47;8,95;3;57,76307
1;16604;4857;37;8,95;3;59,70988
1;11886;6462;43;8,95;3;60,72609
1;1804;10198;44;8,95;3;61,7254
1;9535;14990;60;8,95;3;62,72467
1;1460;2926;53;8,95;3;63,67442
1;7618;8334;54;8,95;3;64,7234
1;5448;6273;48;8,95;3;65,68921
1;3059;8852;51;8,95;3;67,65484
1;9603;14446;61;8,95;3;68,67062
1;9277;16157;66;10,22003;3;69,6869
1;2620;9210;63;11,44006;3;70,7029
1;3261;16049;64;12,60008;3;71,6695
1;13313;6248;54;13,72011;3;72,60194
1;7557;9204;53;10,5701;3;73,65134
1;7273;13827;54;8,95;3;74,60086
1;8033;10231;53;8,95;3;75,61696
1;13200;13032;63;8,95;3;76,58295
1;9611;10839;64;10,22003;3;77,59937
1;5272;10041;61;11,40005;3;78,58194
1;7113;6576;51;12,66008;3;79,63143
1;6567;5528;37;9,760073;3;80,59767
1;7567;12852;40;8,95;3;81,56362
1;6676;8677;43;8,95;3;82,61227
1;9335;5211;48;8,95;3;83,61275
1;22766;7964;61;8,95;3;84,57889
1;21376;8816;53;10,16003;3;85,5448
1;24527;9010;41;8,95;3;86,59702
1;6803;12732;47;8,95;3;87,54446
1;5877;3691;37;8,95;3;88,56059
1;9661;3832;50;8,95;3;90,55937
1;10899;4608;41;8,95;3;91,50917
1;3145;13455;57;8,95;3;92,52507
1;7045;16563;61;8,95;3;93,52435
1;18516;9268;66;10,10003;3;94,50684
1;10148;5195;63;11,26005;3;95,47266
1;11249;4728;41;12,46008;3;96,4723
1;14086;9442;30;0;2;97,4717
1;5560;11411;35;8,95;2;98,47108
1;4400;4636;38;8,95;2;99,50375
1;10989;6358;44;8,95;2;100,4369
1;5760;4291;40;8,95;2;101,4699
1;2694;10611;30;8,95;2;102,4855
1;7568;6273;30;8,95;2;103,4854
1;9655;7733;29;8,95;2;104,4511
1;5176;3713;35;8,95;2;105,4507
1;7363;5242;38;8,95;2;106,4335
1;17074;4972;35;8,95;2;107,4166
1;11554;4185;34;8,95;2;108,3991
1;26421;5186;24;8,95;2;109,4155
1;7353;8714;27;8,95;2;110,4319
1;12636;11937;35;8,95;2;112,397
1;15207;5671;44;8,95;2;113,4128
1;5142;9454;38;8,95;2;114,3625
1;3637;8072;48;8,95;2;115,3951
1;7035;3544;41;8,95;2;116,3782
1;10570;4053;34;8,95;2;117,3776
1;6996;5473;26;8,95;2;118,344
1;1127;2696;21;8,95;2;119,3599
1;13370;5981;13;8,95;2;120,3757
1;4992;6200;24;8,95;2;121,3917
1;5256;6412;35;8,95;2;122,3581
1;2056;5794;35;8,95;2;123,3087
1;7662;9423;48;8,95;2;124,3243
1;6913;2237;35;8,95;2;125,3315
1;11007;5182;29;8,95;2;126,3081
1;8255;5384;27;8,95;2;127,3056
1;9027;5483;24;8,95;2;128,3391
1;7209;8169;37;8,95;2;130,2705
1;12187;8792;50;8,95;2;131,27
1;7402;4975;47;8,95;2;132,2696
1;14422;6040;53;8,95;2;133,2521
1;7345;3854;44;8,95;2;134,2351
1;9391;17677;47;8,95;2;135,2679
1;9345;7071;53;8,95;2;136,2838
1;3809;12830;60;8,95;2;137,2331
1;3519;5767;70;8,95;2;138,216
1;8763;29184;67;10,22003;2;139,249
1;4962;6732;67;11,40005;2;140,2316
1;20384;6427;67;12,60008;2;141,2643
1;3472;6280;63;13,66011;2;142,2483
1;4765;7857;50;14,78013;2;143,2466
1;4801;6993;47;11,88012;2;144,2129
1;8531;4928;40;9,280111;2;145,1635
1;4766;13227;47;8,95;2;146,1786
1;7568;5337;47;8,95;2;147,1945
1;8331;5958;51;8,95;2;148,2001
1;17399;16760;61;8,95;2;149,197
1;19160;11101;61;10,06002;2;150,1938
1;13462;6299;63;11,16005;2;151,1424
1;11069;8030;63;12,40008;2;152,1752
1;5218;5242;60;13,5401;2;153,1246
1;7692;10751;56;10,49009;2;154,1407
1;13383;5314;50;8,95;2;155,1401
1;3460;5922;48;8,95;2;156,1576
1;23176;8264;43;8,95;2;157,1224
1;10016;6419;30;8,95;2;158,1048
1;7704;18998;53;8,95;2;159,138
1;18832;17336;66;8,95;2;160,122
1;4618;5832;60;10,10003;2;161,1205
1;6514;7820;64;0;1;162,1205
1;6688;9991;43;0;1;163,0857
1;15038;7177;35;8,95;1;164,1021
1;5012;4197;34;8,95;1;165,0848
1;4770;17538;50;8,95;1;166,101
1;5638;9316;57;8,95;1;167,0836
1;6780;15974;69;8,95;1;168,0535
1;1340;2722;66;10,18003;1;169,0658
1;5334;7876;54;11,36005;1;170,0655
1;11128;8242;57;8,95;1;171,0315
1;11291;6195;37;8,95;1;172,0477
1;6590;9092;41;8,95;1;173,0137
1;2133;2425;38;8,95;1;174,0465
1;4704;9185;38;8,95;1;174,9959
1;4187;4503;35;8,95;1;175,9963
1;13294;12312;44;8,95;1;176,9948
1;10539;2508;40;8,95;1;177,9948
1;3871;12621;37;8,95;1;178,9936
1;8038;3355;47;8,95;1;179,9931
1;7072;9203;35;8,95;1;180,9932
1;18179;12655;44;8,95;1;181,996
1;7301;15045;53;8,95;1;183,9917
1;7466;5378;57;8,95;1;184,9572
1;5923;8326;63;8,95;1;185,9233
1;14810;9372;63;10,20003;1;186,9397
1;20248;10186;48;11,38005;1;187,939
1;14444;4841;38;8,95;1;188,9216
1;2482;9947;30;8,95;1;189,9381
1;10350;7833;40;8,95;1;190,9374
1;5492;10816;48;8,95;1;191,9369
1;20813;7719;56;8,95;1;192,9028
1;3708;12385;61;8,95;1;193,953
1;11627;3242;48;10,12003;1;194,9186
1;7877;7480;41;8,95;1;195,9011
1;6643;5920;40;8,95;1;196,9008
1;6457;4178;29;8,95;1;197,8835
1;11097;10642;47;8,95;1;198,9162
1;4015;5664;44;8,95;1;199,8657
1;8907;6162;40;8,95;1;200,8651
1;2620;5064;51;8,95;1;201,8647
1;4649;3846;47;8,95;1;202,864
1;4083;6942;47;8,95;1;203,8471
1;12767;14685;50;8,95;1;204,8296
1;7845;4162;43;8,95;1;205,8458
1;5140;3823;29;8,95;1;206,8121
1;12736;6055;29;8,95;1;207,8281
1;8043;8063;35;8,95;1;208,8279
1;9045;11195;38;8,95;1;209,7937
1;7867;5654;50;8,95;1;210,8264
1;16001;8427;41;8,95;1;211,8257
1;6212;6301;40;8,95;1;212,7755
1;21128;10348;37;8,95;1;213,7926
1;23539;5356;29;8,95;1;214,7959
1;6144;7546;37;8,95;1;215,7413
1;2061;8553;44;8,95;1;216,7408
1;2365;8193;47;8,95;1;217,7559
1;6102;6073;53;8,95;1;219,7386
1;8103;20401;48;8,95;1;220,7376
1;14618;5475;27;8,95;1;221,7207
1;8747;4989;21;8,95;1;222,7353
1;21570;10326;27;8,95;1;223,7193
1;8681;6651;16;8,95;1;224,7523
1;4774;9714;41;8,95;1;225,6853
1;11072;4325;44;8,95;1;226,6845
1;7684;11969;47;8,95;1;227,7007
1;5821;5235;53;8,95;1;228,7167
1;10906;6927;44;8,95;1;229,7332
1;2595;5463;43;8,95;1;230,683
1;3878;7809;47;8,95;1;231,7028
1;8744;5183;43;8,95;1;232,6651
1;7403;9879;48;8,95;1;233,7288
1;16134;5997;44;-0,05;0;235,6795
2;22688;7628;20;8,95;3;0,02
2;12687;6917;29;8,95;3;0,6141684
2;3668;1964;23;8,95;3;1,597878
2;10224;9282;29;8,95;3;2,61316
2;3470;4147;34;8,95;3;3,562647
2;4796;4937;35;8,95;3;4,578698
2;6949;10277;50;8,95;3;5,561915
2;9749;12097;54;8,95;3;7,57699
2;17416;8696;66;8,95;3;8,562427
2;4503;5528;60;10,08002;3;9,527156
2;9188;3477;41;8,95;3;10,57601
2;40066;16797;50;8,95;3;11,55811
2;3550;3137;37;8,95;3;12,55777
2;11309;8675;38;8,95;3;13,52366
2;6444;2523;44;8,95;3;14,50728
2;7972;6796;40;8,95;3;15,48921
2;5110;4548;38;8,95;3;16,50563
2;4589;7288;43;8,95;3;17,52172
2;9453;9314;50;8,95;3;18,52126
2;10370;7544;47;8,95;3;19,53701
2;17640;4413;43;8,95;3;20,46981
2;8015;7102;43;8,95;3;21,48605
2;8137;11565;43;8,95;3;22,4856
2;12019;5478;37;8,95;3;23,45229
2;12876;12364;44;8,95;3;24,45183
2;4609;6745;35;8,95;3;25,41764
2;3249;5783;29;8,95;3;26,43332
2;6466;3475;26;8,95;3;27,43432
2;5609;7430;35;8,95;3;28,44901
2;12992;18451;53;8,95;3;29,43161
2;19326;5438;57;8,95;3;30,41455
2;10895;13051;78;8,95;3;31,431
2;10663;5892;74;10,14003;3;32,39676
2;8461;6663;56;11,38005;3;33,42952
2;4804;6419;64;8,95;3;34,4289
2;9788;8259;60;10,14003;3;35,37842
2;12281;4458;51;8,95;3;36,41129
2;6526;12353;60;8,95;3;37,36071
2;19536;8766;50;8,95;3;38,36004
2;6030;8143;48;8,95;3;39,35987
2;7264;21525;74;8,95;3;40,39278
2;1586;1625;70;10,18003;3;41,3752
2;5985;5727;74;11,24005;3;42,32485
2;8596;4091;66;12,46008;3;43,35741
2;6782;5820;43;13,64011;3;44,34037
2;8545;10112;44;10,69009;3;45,34011
2;7388;4863;40;8,95;3;46,32273
2;10231;6760;50;8,95;3;47,32224
2;3715;6032;50;8,95;3;48,32154
2;7889;5912;38;8,95;3;49,32109
2;7667;6909;48;8,95;3;50,25403
2;8634;11356;44;8,95;3;51,28688
2;23668;17324;44;8,95;3;52,30257
2;7266;8199;54;8,95;3;53,28542
2;3674;4078;50;8,95;3;54,28511
2;9211;3435;40;8,95;3;55,24846
2;15337;6802;29;8,95;3;56,26698
2;15482;8435;17;8,95;3;57,26701
2;6709;5386;21;8,95;3;58,26654
2;3767;7722;29;8,95;3;59,23196
2;8291;6324;47;8,95;3;60,24876
2;21003;8211;60;8,95;3;61,23133
2;6112;10209;74;8,95;3;62,23115
2;7068;3730;63;10,12003;3;63,23084
2;10709;15619;61;11,24005;3;64,23073
2;5187;20910;63;12,32008;3;65,19691
2;24926;9470;48;13,5001;3;66,21163
2;17053;11343;60;10,70009;3;67,16145
2;17244;10389;60;8,95;3;68,17731
2;2578;1658;43;8,95;3;70,15995
2;42568;25259;53;8,95;3;71,14317
2;8671;11481;34;8,95;3;72,175
2;11848;7317;16;8,95;3;73,19122
2;25734;11424;16;8,95;3;74,17409
2;5952;4127;3;8,95;3;75,17348
2;10878;8445;7;8,95;3;76,12307
2;8198;3390;14;8,95;3;77,17241
2;25034;15286;14;8,95;3;78,10538
2;13162;6266;7;8,95;3;79,12218
2;13372;6498;7;8,95;3;80,13792
2;20840;14073;7;8,95;3;81,1203
2;17903;7973;34;8,95;3;83,11935
2;8570;11608;41;8,95;3;84,10221
2;20018;8783;44;8,95;3;85,08475
2;4976;7473;30;8,95;3;86,068
2;5337;11036;44;8,95;3;87,05131
2;52183;16674;43;8,95;3;88,05283
2;36571;23016;40;8,95;3;89,06631
2;13955;31559;41;8,95;3;90,04948
2;46717;6446;23;8,95;3;92,08008
2;6441;11298;26;8,95;3;93,06467
2;2834;15450;38;8,95;3;94,03022
2;43723;12681;41;8,95;3;95,01298
2;5152;3036;43;8,95;3;96,02892
2;6640;3708;29;8,95;3;96,995
2;5752;9248;30;8,95;3;97,99429
2;7000;3889;27;8,95;3;98,97697
2;3171;2970;23;8,95;3;99,97643
2;16615;16586;37;8,95;3;100,9761
2;7039;4722;16;8,95;3;101,9926
2;26054;7704;14;8,95;3;102,9749
2;4618;10344;21;8,95;3;104,026
2;2693;9524;40;8,95;3;105,9232
2;10582;8997;44;8,95;3;106,9559
2;6702;18330;54;8,95;3;107,9885
2;8286;22067;43;8,95;3;108,9881
2;2116;11764;48;8,95;3;109,9409
2;1627;3516;41;8,95;3;110,9714
2;5501;9188;40;8,95;3;111,9072
2;22055;16794;38;8,95;3;112,6606
2;10226;9922;14;8,95;3;114,6759
2;31863;15429;14;8,95;3;115,6586
2;7190;9608;21;8,95;3;116,6247
2;12500;7475;30;8,95;3;117,658
2;2340;6367;43;8,95;3;118,624
2;5820;8760;34;8,95;3;119,613
2;15532;18117;40;8,95;3;120,5896
2;9061;17907;43;8,95;3;121,589
2;9965;7431;30;8,95;3;122,6054
2;32394;11406;47;8,95;3;123,6044
2;12049;13038;41;8,95;3;124,6207
2;14791;8626;35;8,95;3;125,5724
2;8756;7004;34;8,95;3;126,5533
2;16977;11174;20;8,95;3;127,5357
2;5534;8958;24;8,95;3;128,5525
2;39785;36008;23;8,95;3;129,5676
2;15606;9042;34;8,95;3;130,5672
2;8866;2501;40;8,95;3;131,5502
2;11330;2653;21;8,95;3;132,533
2;17909;12018;21;8,95;3;133,5327
2;33609;10931;17;8,95;3;134,5329
2;7215;6267;21;8,95;3;135,565
2;23153;14228;26;8,95;3;136,547
2;24079;9733;20;8,95;3;137,5136
2;13192;12558;29;8,95;3;138,5135
2;25834;29859;41;8,95;3;139,4789
2;43557;12239;37;8,95;3;140,5121
2;14136;18978;41;8,95;3;141,4895
2;14436;5522;34;8,95;3;142,4776
2;67413;27739;11;8,95;3;144,4432
2;9252;10598;17;8,95;3;145,5926
2;35325;37646;13;8,95;3;146,4632
2;11750;4958;20;8,95;3;147,4733
2;24962;23118;20;8,95;3;148,4235
2;19974;13900;26;8,95;3;149,4553
2;44035;30864;38;8,95;3;150,4548
2;37875;32246;48;8,95;3;151,421
2;70266;61842;54;8,95;3;152,4207
2;54748;24711;37;8,95;3;153,4198
2;25599;10611;29;8,95;3;154,4369
2;18719;21153;24;8,95;3;155,4188
2;40273;13689;29;8,95;3;156,4182
2;152703;80461;50;8,95;3;157,4176
2;68928;19222;47;8,95;3;158,4179
2;106524;47000;47;8,95;3;159,4166
2;105452;83727;47;8,95;3;160,3494
2;93866;146989;37;8,95;3;161,3321
2;20354;8009;35;8,95;3;162,3317
2;18173;16051;43;8,95;3;163,3819
2;12577;5219;27;8,95;3;164,3472
2;6055;11119;27;8,95;3;165,38
2;70973;34924;34;8,95;3;166,3296
2;5220;3819;29;8,95;3;167,3622
2;51272;24343;47;8,95;3;168,3118
2;47851;42136;43;8,95;3;169,3613
2;25108;10648;38;8,95;3;170,344
2;5481;15158;35;8,95;3;171,3269
2;57193;19372;20;8,95;3;172,2763
2;14747;5114;11;8,95;3;173,259
2;4090;7338;17;8,95;3;174,259
2;20014;9166;21;8,95;3;175,3079
2;7244;16349;38;8,95;3;176,2741
2;43969;28617;54;8,95;3;177,29
2;20229;20156;53;8,95;3;178,2734
2;39798;43312;53;8,95;3;179,2558
2;41830;23331;35;8,95;3;180,2719
2;26748;70499;37;8,95;3;181,2881
2;30294;34936;40;8,95;3;182,2541
2;49344;21608;26;8,95;3;183,2545
2;23519;12505;29;8,95;3;184,22
2;12066;6176;23;8,95;3;186,1852
2;5026;11291;44;8,95;3;187,2015
2;13430;22247;53;8,95;3;188,2179
2;5742;5932;41;8,95;3;189,1845
2;10842;21723;41;8,95;3;190,2164
2;17497;16704;44;8,95;3;191,2165
2;13942;12041;40;8,95;3;192,1986
2;46134;47114;50;8,95;3;193,1819
2;20101;6481;26;8,95;3;195,1306
2;2563;6797;35;8,95;3;196,1466
2;4117;6379;30;8,95;3;197,1127
2;19265;22791;56;8,95;3;198,1622
2;3223;2966;60;8,95;3;199,1449
2;15157;13922;57;8,95;3;200,1276
2;14534;24550;69;8,95;3;201,127
2;20808;42721;56;10,20003;3;202,1275
2;9664;15526;64;8,95;3;203,0935
2;5135;4294;53;10,22003;3;204,1089
2;10193;22147;51;8,95;3;205,1086
2;14765;13065;53;8,95;3;206,1085
2;6574;25608;56;8,95;3;207,1078
2;32115;12310;56;8,95;3;208,09
2;18967;18816;51;8,95;3;209,0727
2;37629;17946;34;8,95;3;210,0564
2;9282;15119;38;8,95;3;211,0553
2;5102;6323;40;8,95;3;212,0215
2;18251;16830;41;8,95;3;213,0211
2;14472;13230;61;8,95;3;214,0534
2;36620;8395;50;10,20003;3;215,0528
2;7836;17232;57;8,95;3;216,069
2;10384;7786;54;8,95;3;217,0186
2;2464;8719;53;8,95;3;218,0347
2;18003;6379;50;8,95;3;219,0508
2;9641;7523;41;8,95;3;220,0168
2;36347;7806;35;8,95;3;221,0168
2;11293;16758;41;8,95;3;221,9495
2;5068;7856;38;8,95;3;222,982
2;1837;2272;47;8,95;3;223,9981
2;8253;8349;54;8,95;3;224,9475
2;5501;6763;35;8,95;3;225,9803
2;4165;3960;24;8,95;3;226,9798
2;18143;8599;7;8,95;3;227,9791
2;10973;11133;4;8,95;3;228,9453
2;16785;7502;13;8,95;3;229,9288
2;12528;16273;27;8,95;3;230,9275
2;14812;7921;40;8,95;3;231,9603
2;3365;4602;41;8,95;3;232,9431
2;1836;2545;38;8,95;3;233,9592
2;26837;17208;43;8,95;3;234,9252
2;10833;12570;54;8,95;3;235,9081
2;6498;9085;64;8,95;3;236,9252
2;12962;8983;74;10,18003;3;237,907
2;11364;12253;61;12,52008;3;239,856
2;3952;4921;38;13,76011;3;240,8889
2;7794;20320;47;10,8601;3;241,8557
2;10095;17113;50;8,95;3;242,8711
2;22848;21283;50;8,95;3;243,854
2;8056;7878;51;8,95;3;244,8701
2;6493;8082;43;8,95;3;245,8526
2;5114;2647;27;8,95;3;246,8354
2;2469;6128;37;8,95;3;248,8677
2;18194;15157;44;8,95;3;249,8671
2;11065;10467;56;8,95;3;250,8334
2;66552;26346;50;8,95;3;252,8155
2;6510;14130;43;8,95;3;253,7983
2;4491;15761;47;8,95;3;254,8144
2;6814;12741;54;8,95;3;255,7639
2;11428;15636;69;8,95;3;256,8134
2;2539;2769;69;10,20003;3;257,8129
2;10383;15518;67;11,36005;3;258,7791
2;14876;4422;50;12,56008;3;259,779
2;25571;13722;47;9,710071;3;260,7446
2;6076;6854;40;8,95;3;261,7778
2;3302;2227;41;0;2;262,7767
2;13990;4947;47;8,95;2;263,727
2;8677;13717;53;8,95;2;264,7593
2;16140;9568;60;8,95;2;266,7754
2;6550;14310;61;8,95;2;267,7076
2;7683;2786;44;10,24003;2;268,7401
2;7035;8939;34;8,95;2;269,7232
2;8038;4298;20;8,95;2;270,7057
2;3771;7182;21;8,95;2;271,6887
2;17014;27507;37;8,95;2;272,688
2;16006;5813;40;8,95;2;273,6712
2;9400;10386;53;8,95;2;274,7037
2;7811;8544;54;8,95;2;275,6864
2;10476;13913;50;8,95;2;276,7026
2;19586;11562;51;0;1;277,6853
2;5341;7270;41;8,95;1;279,6177
2;4394;8840;24;8,95;1;281,6164
2;12101;23749;29;8,95;1;282,6001
2;17014;9857;24;8,95;1;283,632
2;6424;6191;26;8,95;1;284,6148
2;9084;15390;20;8,95;1;285,6143
2;20702;9237;29;8,95;1;286,5806
2;19602;6136;41;8,95;1;288,6128
2;9418;6080;40;8,95;1;289,5631
2;4527;7265;34;8,95;1;290,5619
2;6049;5955;23;8,95;1;291,5945
2;23610;9657;21;8,95;1;292,5443
2;7202;13490;30;8,95;1;293,56
2;9877;6627;21;8,95;1;294,5426
2;28596;21182;34;8,95;1;295,5757
2;13821;9011;37;8,95;1;296,5583
2;5363;9212;47;8,95;1;297,5415
2;7908;9194;54;8,95;1;298,5738
2;14535;6147;51;8,95;1;299,5242
2;4025;10395;56;8,95;1;300,5063
2;6456;17421;64;8,95;1;302,5055
2;8325;12515;66;11,36005;1;304,4706
2;5898;5741;61;12,62008;1;305,5202
