attention meditation delta theta velocity
57 41 356676 25007 0 
64 61 41119 12374 0 
64 61 41119 12374 0 
70 67 348830 32878 0 
70 67 348830 32878 0 
80 67 12322 32236 0 
80 67 12322 32236 0 
77 60 32514 63534 0 
77 60 32514 63534 0 
80 47 92793 66604 0 
80 47 92793 66604 0 
84 48 175647 112229 0 
84 48 175647 112229 0 
64 40 1980225 130426 0 
64 40 1980225 130426 0 
74 35 66459 43723 0 
74 35 66459 43723 0 
70 37 48806 60394 0 
70 37 48806 60394 0 
81 38 46717 36921 0 
81 38 46717 36921 0 
64 35 279491 121660 0 
64 35 279491 121660 0 
56 30 78468 45627 0 
56 30 78468 45627 0 
48 41 49148 57960 0 
48 41 49148 57960 0 
66 43 60704 32246 0 
66 43 60704 32246 0 
100 57 10783 15793 0 
100 57 10783 15793 0 
100 56 83706 25322 0 
100 56 83706 25322 0 
91 51 135166 56516 0 
91 51 135166 56516 0 
70 40 73917 62701 0 
70 40 73917 62701 0 
