bonus;lowBeta;highBeta;meditation;currentProgress;timestamp(s)
1;31123;6039;80;100;0
1;11215;8873;83;100;0
1;957;1215;93;100;0
1;7953;2028;81;0;0,4859002
1;15993;21332;80;10;1,518869
1;6153;4617;80;10;2,534928
1;10354;5421;94;20;3,467936
1;8671;25570;100;30;5,483145
1;5042;10513;100;30;6,532695
1;7596;7457;100;30;7,448766
1;7232;8278;100;30;8,48154
1;5617;6060;96;40;9,497696
1;4417;10406;100;50;10,46404
1;5962;7347;100;50;11,44651
1;1262;3102;93;60;12,42943
1;7082;12901;91;70;13,42887
1;12858;5696;80;80;14,46154
1;9060;5523;88;90;15,41125
1;7444;6718;87;100;16,44402
1;5939;12831;78;100;17,41018
1;4965;15095;70;100;18,39286
1;5784;3394;56;100;19,42604
