reward;lowBeta;highBeta;attention;currentProgress;timestamp(s)
1;13785;13604;20;0;0,02
1;21541;16810;26;0;1,348639
1;81704;63350;38;0;2,397713
1;6231;8418;34;0;3,39735
1;10139;15699;27;0;4,381862
1;10140;11155;37;0;5,346271
1;2156;7614;51;0;6,329049
1;8978;5159;61;10;7,329409
1;4440;9724;63;20;8,361873
1;8952;10343;69;30;9,36069
1;7769;2286;56;28;10,31129
1;11628;29782;67;38;11,30989
1;11720;13458;81;48;12,34233
1;4117;9317;77;58;13,29206
1;1349;8371;93;68;14,32474
1;2297;5965;78;78;15,3249
1;2314;18691;83;88;16,25704
1;4742;3125;70;98;17,2897
1;1818;7545;70;98;18,27247
1;9382;16969;81;100;19,23878
1;8570;16696;77;100;20,25463
2;17729;3883;41;0;0,02
2;25884;16086;29;0;0,578
2;7124;1831;27;0;1,560906
2;8024;3677;23;0;2,527007
2;18333;6211;23;0;3,509836
2;11409;2632;20;0;4,509157
2;40310;10964;11;0;5,492076
2;32292;28470;16;0;6,491366
2;8824;5083;8;0;7,54083
2;8690;19498;20;0;8,523777
2;7254;3086;29;0;9,506409
2;6503;7703;38;0;10,4725
2;12368;15879;47;0;11,52192
2;989;2426;38;0;12,45498
2;15472;10931;43;0;13,4542
2;14127;6037;43;0;14,45461
2;3389;7325;44;0;15,41985
2;12970;13275;43;0;16,48674
2;16781;14255;27;0;17,43541
2;7232;10436;17;0;18,46821
2;15707;6821;16;0;19,46855
2;4542;9826;27;0;20,43381
2;3987;6567;48;0;21,41667
2;3956;5571;61;10;22,41603
2;9248;4201;60;8;23,44891
2;8935;6351;51;6;24,36509
2;5341;9268;48;4;25,39795
2;19605;9056;35;2;27,3802
2;12051;14459;43;0;28,37964
2;2116;1951;29;0;29,36237
2;28849;14592;34;0;30,36176
2;5823;16633;38;0;31,3612
2;5589;10228;41;0;32,34404
2;3092;6262;57;0;33,34431
2;7707;6126;63;10;34,35971
2;5814;15176;69;20;35,3591
2;3050;4719;63;30;36,30842
2;6021;17854;67;40;37,2913
2;12007;11017;63;50;38,29074
2;8512;12701;69;60;39,30685
2;10082;19045;81;70;40,28974
2;17698;11584;75;80;41,30603
2;4352;1830;67;90;42,32199
2;8733;13243;60;88;43,30455
2;1764;2394;50;86;44,28741
2;15699;13739;47;84;45,28696
2;3844;15992;54;82;46,26995
2;13779;13384;56;80;47,25313
2;11548;15459;57;78;48,26866
2;12209;17107;53;76;49,23571
2;2970;25140;53;76;50,28502
2;4658;4690;50;74;51,21716
2;1045;4422;50;74;52,21731
2;12982;18685;57;72;53,19912
2;9027;34019;74;82;54,21629
2;9757;9916;69;92;55,1982
2;1797;16295;83;100;57,23038
2;17364;17262;78;100;58,1965
2;80526;23284;70;100;59,19604
2;18872;12616;61;100;60,21212
3;15309;5553;48;0;0,02
3;2044;4348;54;0;0,29489
3;120907;22484;30;0;1,177736
3;5343;1604;14;0;2,193721
3;14001;10099;13;0;3,176517
3;3872;3220;11;0;4,209373
3;4904;2203;14;0;5,208957
3;2191;2373;21;0;6,158474
3;7869;4535;30;0;7,140938
3;8529;3449;30;0;9,173287
3;18646;9478;27;0;10,10611
3;5169;4289;27;0;11,12227
3;43103;42212;24;0;13,10474
3;10150;8090;24;0;14,13741
3;26202;15036;37;0;15,12004
3;6085;3935;48;0;16,12029
3;12461;14018;50;0;17,11886
3;9894;34511;60;0;18,10186
3;22245;11371;56;0;19,08454
3;16338;16471;60;0;20,08394
3;13805;9041;50;0;21,08356
3;38580;24972;47;0;22,08295
3;20662;18074;48;0;23,06662
3;2687;1381;34;0;24,03193
3;6648;29976;44;0;25,03134
3;3162;3563;30;0;26,01407
3;8571;2859;17;0;27,03034
3;6077;5337;26;0;28,04724
3;49772;10513;14;0;28,99686
3;11565;5637;17;0;30,04611
3;36491;18705;16;0;31,01141
3;28164;10359;14;0;32,04511
3;5816;19149;26;0;33,04355
3;2682;6310;30;0;33,99313
3;35093;49708;41;0;34,97579
3;47349;25354;47;0;35,97226
3;28323;34986;47;0;36,9702
3;7247;6590;48;0;37,96923
