run;lowBeta;highBeta;attention;velocity;currentLife;timestamp(s)
0;28252;20746;41;2,95;3;0,02
0;103053;19585;51;2,95;3;0,7757709
0;4364;1643;40;2,95;3;1,725388
0;8876;22336;44;2,95;3;2,75846
0;11515;32049;48;2,95;3;3,757566
0;4578;18361;67;2,95;3;4,723731
0;9133;8979;93;4,219999;3;5,739795
0;4416;10882;96;7,17001;3;6,722652
0;9401;10676;88;10,12002;3;7,705452
0;13736;9198;67;13,02003;3;8,671525
0;1628;2161;61;14,22006;3;9,671119
0;14816;12602;50;15,40009;3;10,6538
0;7871;25480;53;12,45008;3;11,63675
0;4277;30062;70;9,450064;3;12,63606
0;2156;4667;78;10,65009;3;13,63554
0;4089;17333;96;11,85012;3;14,63493
0;4580;7353;100;14,90013;3;15,66823
0;7280;22149;100;17,85011;3;16,65048
0;7381;19045;100;20,05;3;17,65006
0;9420;22882;100;20,05;3;18,63276
0;9177;5519;88;20,05;3;19,63241
0;11747;6767;61;20,05;3;20,64828
0;6666;12040;54;20,02;3;21,59785
0;35580;20352;38;16,90005;3;22,63051
0;7061;16715;51;13,95005;3;23,61353
0;8428;16313;66;11,05004;3;24,57978
0;21282;21235;51;12,31007;3;25,62886
0;6135;9411;57;9,46006;3;26,57844
0;18957;26637;26;3,56004;3;28,54428
0;9086;8952;26;2,95;3;29,5436
0;198553;101195;34;2,95;3;30,57645
0;36516;33024;43;2,95;3;31,57637
0;8047;4225;37;2,95;3;32,54306
0;26055;18713;41;2,95;3;33,50818
0;8293;14794;35;2,95;3;34,5407
0;6336;15290;41;2,95;3;35,57355
0;9355;16140;50;2,95;3;36,48972
0;8465;4339;47;2,95;3;37,50583
0;35071;20140;43;2,95;3;38,53867
0;2831;12730;43;2,95;3;39,48812
0;5217;2861;41;2,95;3;41,48695
0;4220;11933;56;2,95;3;42,48647
0;3060;16358;64;2,95;3;43,4692
0;4126;21319;66;4,239999;3;44,50195
0;43118;36931;74;5,379998;3;45,45143
0;8785;32832;53;6,579997;3;46,45089
0;21403;12806;29;3,579987;3;47,45037
0;4968;11611;47;2,95;3;48,4664
0;6498;16555;48;2,95;3;49,4826
0;8730;8794;64;2,95;3;50,43204
0;4640;3752;67;4,219999;3;51,44816
0;15139;11786;47;5,419998;3;52,44785
0;2923;7646;44;2,95;3;53,43043
0;1494;25425;64;2,95;3;55,37946
0;8663;9041;84;4,219999;3;56,39551
0;55584;34184;93;7,17001;3;57,37831
0;6659;8798;100;10,17002;3;58,3778
0;23207;10004;81;13,22003;3;59,3938
0;3167;19464;66;16,17004;3;60,37654
0;17802;12291;63;17,33007;3;61,34301
0;9518;19214;57;18,53009;3;62,34259
0;1402;2431;54;15,48013;3;63,35839
0;3598;9254;57;12,38012;3;64,39105
0;10539;11266;56;9,430107;3;65,37411
0;3066;3908;47;6,480096;3;66,35686
0;52605;49167;48;3,780087;3;67,30631
0;6085;8913;47;2,95;3;68,30566
0;66027;21011;37;2,95;3;69,32191
0;20720;19661;44;2,95;3;70,28817
1;18087;17362;37;3,95;3;0,02
1;20532;7243;34;3,95;3;0,6374996
1;11920;15575;30;3,95;3;1,603787
1;9195;13768;48;3,95;3;2,619822
1;14600;12526;48;3,95;3;3,619248
1;9883;8299;48;3,95;3;4,585485
1;39530;22876;60;3,95;3;5,584855
1;21765;13419;38;3,95;3;6,550966
1;19265;6185;11;3,95;3;7,55035
1;15199;25396;23;3,95;3;8,583178
1;4964;3558;16;3,95;3;10,51544
1;4860;6519;37;3,95;3;11,53158
1;4007;4057;26;3,95;3;12,56459
1;18965;20472;35;3,95;3;17,49497
1;11166;17320;47;3,95;3;18,46134
2;16861;27390;41;3,95;3;0,02
2;8448;30135;35;3,95;3;0,0515458
2;1293;2646;38;3,95;3;1,074323
2;8721;19511;44;3,95;3;2,033476
3;18235;24212;66;3,04;3;0,02
3;15025;27118;75;3,979999;3;0,802065
3;35947;25478;66;5,179998;3;1,80126
3;12244;5196;56;6,419997;3;2,834155
3;13743;7323;51;3,419988;3;3,833611
3;19681;13894;35;2,95;3;4,833033
3;3386;7492;37;2,95;3;5,832501
3;4635;8905;44;2,95;3;6,831919
3;1543;5678;57;2,95;3;7,798061
3;19998;16992;69;2,95;3;8,780867
3;211720;231004;87;4,179999;3;9,780395
3;11498;17316;93;7,13001;3;10,76337
