lowBeta highBeta attention currentProgress 
14020 24226 47 0 
9637 31291 41 0 
4325 16364 54 0 
5098 9528 44 0 
6453 8295 21 0 
6722 13218 14 0 
136137 32390 1 0 
7782 8572 13 0 
1842 4712 21 0 
15043 14153 47 20 
1206 936 35 20 
8427 11113 34 0 
1474 1940 26 0 
675 2092 41 0 
20078 11657 50 60 
3515 9874 48 60 
50872 13535 61 90 
9547 16732 69 90 
12472 8033 50 0 
1619 10317 60 0 
63318 106038 43 60 
2790 10357 43 60 
10731 8708 34 60 
17659 8029 24 60 
5252 10071 23 60 
18245 11486 26 60 
18038 38789 57 0 
7356 3097 53 0 
22138 13339 88 30 
8374 9848 69 30 
18792 6515 63 0 
3637 7983 83 0 
3694 5007 69 32 
25238 21901 66 32 
820 1150 81 32 
2044 7555 80 32 
990 10544 83 32 
4932 9696 80 58 
8022 5886 64 58 
1232 836 70 58 
4411 4789 64 100 
6837 4109 41 100 
