run;lowBeta;highBeta;attention;velocity;currentLife;timestamp(s)
1;8665;6538;61;2,95;3;0,02
1;6160;3492;23;2,95;3;1,169268
1;5989;8801;34;2,95;3;2,168489
1;2469;4140;50;2,95;3;3,13464
1;6478;9867;54;4,219999;3;4,150742
1;4188;9206;64;5,379998;3;5,117022
1;13593;18866;67;2,95;3;6,134131
1;4481;3120;56;2,95;3;6,749865
1;8510;6291;63;3,5;3;7,166494
1;6205;14576;66;2,95;3;7,750301
1;30339;21841;63;2,95;3;8,749119
1;4020;17083;87;2,95;3;9,748363
1;3419;5110;83;5,950006;3;10,73106
1;8188;8908;84;8,750017;3;11,74738
1;4700;9183;78;0;2;12,73005
1;3206;3320;63;2,95;2;14,71342
1;15151;11978;54;2,95;2;15,74515
1;33188;9649;43;4,839998;2;16,61182
1;12293;5613;60;6,479997;2;17,97746
1;2622;12880;61;3,529988;2;18,96029
1;19051;16849;81;2,95;2;19,9775
1;10389;17731;67;6,000007;2;20,9769
1;11269;22001;69;3,1;2;21,94238
1;9977;12120;61;2,95;2;22,95824
1;5007;9114;53;2,95;2;23,9244
1;15864;26068;60;4,199999;2;24,9241
1;10261;12325;37;2,95;2;25,94011
1;10207;10478;48;2,95;2;26,90598
1;6061;10961;70;4,199999;2;27,9062
1;8444;11028;77;2,95;2;28,95496
1;7349;15026;97;2,95;2;29,92119
1;6962;6172;84;6,000007;2;30,9206
1;6338;12646;75;8,900018;2;31,88774
1;3676;8635;70;5,900006;2;32,88604
1;1811;1234;53;2,95;2;33,88556
1;38207;37855;40;4,179999;2;34,86834
1;16794;20497;23;2,95;2;35,85117
1;4937;3773;30;2,95;2;36,8507
1;7503;6530;67;2,95;1;38,88289
1;3451;3438;67;2,95;1;39,86568
1;3883;12619;47;2,95;1;40,84901
1;16000;6313;40;4,179999;1;41,83202
1;37280;34726;34;2,95;1;42,86394
1;4846;9955;44;2,95;1;43,84676
1;19087;20620;48;4,179999;1;44,86262
1;8961;8828;43;6,019997;1;46,82853
1;1943;1765;29;7,219996;1;47,82782
1;10254;3460;23;4,319985;1;48,81068
1;6902;12132;37;2,95;1;49,77676
1;15279;12368;24;-0,05;0;50,80959
1;4964;5429;35;-0,05;0;51,80939
