bonus;lowBeta;highBeta;meditation;currentProgress;timestamp(s)
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;3663;2724;16;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
1;41328;13141;20;100;0
