bonus;lowBeta;highBeta;meditation;currentProgress;timestamp(s)
1;51892;29469;29;100;0
1;24763;29800;16;100;0
1;13608;3350;37;100;0
1;72568;78582;51;0;0,1515984
1;85098;103668;69;10;1,020931
1;4765;3277;69;10;2,020942
1;3215;5009;64;20;3,021695
1;41002;32390;67;30;4,017707
1;16819;38676;48;28;5,015025
1;20934;21858;43;26;6,00597
1;3462;7233;50;24;6,998147
1;12575;21043;34;22;7,995382
1;256648;70569;23;20;8,988366
1;248464;72507;24;18;9,985645
1;27418;11136;14;16;10,98171
1;52366;13564;30;14;11,97595
1;6702;18783;50;12;12,97035
1;48779;17964;48;10;13,96712
1;3642;1910;60;20;14,96694
1;10385;10623;47;18;15,96626
1;11014;3054;44;16;16,96116
1;6502;2292;53;26;17,95583
1;1326;1760;57;36;18,95145
1;17643;6973;69;46;19,94811
1;12881;8782;69;46;20,94263
1;33498;9433;84;56;21,9408
1;20956;13897;81;66;22,93779
1;51017;29607;70;76;24,86883
1;23263;9835;50;74;25,86744
1;118672;55542;24;72;26,86175
1;25641;73981;20;70;27,85522
1;1927;2499;29;68;28,85388
1;4979;8255;34;66;29,84481
1;2829;3116;41;64;30,84087
1;44384;4874;38;62;31,83487
1;7220;13742;35;60;32,82734
1;7109;8087;44;58;34,81566
1;9715;17628;60;68;35,80736
1;5219;1352;67;78;36,80176
1;13655;8607;77;88;37,79696
1;5291;7904;66;98;38,79198
1;8386;22141;63;100;39,78595
1;9224;7893;63;100;40,77828
1;25876;11037;64;100;41,76994
1;14321;27620;70;100;42,76422
