reward;lowBeta;highBeta;attention;currentProgress;timestamp(s)
1;21752;9865;24;0;0,02
1;5308;5295;43;0;0,1008104
1;6801;4126;35;0;1,096672
1;23129;11149;40;0;2,094368
1;7124;3708;38;0;3,089582
1;51920;112861;38;0;4,088881
1;29036;44456;41;0;5,087701
1;33081;20813;43;0;6,084186
1;7377;5498;44;0;7,08001
1;20188;6980;34;0;9,010663
1;28855;9520;26;0;10,00539
1;11454;21528;37;0;11,0035
1;14926;6506;30;0;12,00142
1;12638;7682;35;0;12,99488
1;106684;80625;37;0;13,98913
1;21058;13989;17;0;14,98214
1;23660;45309;29;0;15,97632
1;320217;186526;41;0;16,9766
1;88420;81135;47;0;17,97198
1;16880;11902;54;0;18,97002
1;32133;26081;47;0;19,96289
1;15462;23675;44;0;20,95643
1;13188;4065;43;0;21,95012
1;12283;4560;40;0;22,94297
1;21015;12764;47;0;23,93536
1;14394;14949;47;0;24,93408
1;3484;12047;50;0;25,92789
1;60714;38035;53;0;26,92192
1;26645;19724;56;0;27,92339
1;74748;101270;57;0;28,91239
1;70384;22791;56;0;29,90749
1;16347;20597;64;10;30,90614
1;13108;5585;53;8;31,9056
1;151188;255808;53;8;32,90143
1;13188;16878;53;8;33,89835
1;5217;5905;53;8;34,89601
1;0;1;53;8;35,89109
1;4338;4504;53;8;36,8883
1;17884;7668;53;8;37,88296
1;27262;25558;60;6;38,87968
1;2737;5507;53;4;39,87667
1;11501;7388;54;2;40,87178
1;7223;26042;53;0;41,80742
1;14903;11207;51;0;42,80097
1;21638;22629;44;0;44,79422
1;17814;20774;43;0;45,78919
1;27416;38175;47;0;46,78361
1;153013;70924;41;0;47,78018
1;39916;37957;44;0;48,77894
1;2216;6037;43;0;49,77317
1;16537;24892;41;0;50,77198
1;8862;30395;43;0;51,76659
1;2527;10422;48;0;52,76215
1;30848;91421;51;0;53,76009
1;129348;78530;43;0;54,75664
1;26693;29431;48;0;55,74999
1;60030;112985;40;0;57,74322
1;73342;112938;48;0;58,73564
1;11608;7729;48;0;59,73432
1;36852;41067;51;0;60,72724
1;4981;6187;48;0;61,72606
1;9907;6732;41;0;62,72698
1;56175;19623;37;0;63,72096
1;7440;16882;41;0;64,71735
1;180449;70358;41;0;65,64696
1;28431;45988;48;0;66,64378
1;26898;23742;50;0;67,70177
1;48855;23424;48;0;68,69714
1;7092;4015;51;0;69,69823
1;36705;16213;37;0;71,62656
1;19734;16708;29;0;72,62121
1;20119;20837;29;0;73,6254
2;39792;69046;21;0;0,02
2;37580;17063;24;0;0,2748953
2;117305;61695;37;0;1,210248
2;28760;10627;43;0;2,209249
2;26405;24009;41;0;3,209116
2;8098;9972;43;0;4,200817
2;84882;71527;48;0;5,198816
2;48306;22491;27;0;6,196768
2;5367;12545;26;0;7,19346
2;10757;9184;44;0;8,192511
2;6012;7882;40;0;9,18646
2;2715;12696;67;10;10,18229
