run;lowBeta;highBeta;attention;velocity;currentLife;coins;distance(m);timestamp(s)
1;12183;6751;53;2,99;3;0;0,1983487;0,02
1;1669;646;66;2,99;3;0;0,2470059;0,0362733
1;1669;646;66;2,99;3;0;0,3331666;0,0650896
1;1669;646;66;2,99;3;0;0,4067257;0,0896913
1;1669;646;66;2,99;3;0;0,4372625;0,0999043
1;1669;646;66;2,99;3;0;0,4972228;0,1199579
1;1669;646;66;2,99;3;0;0,532634;0,1318011
1;1669;646;66;2,99;3;0;0,5867599;0,1499034
1;1669;646;66;2,99;3;0;0,6184635;0,1605066
1;1669;646;66;2,99;3;0;0,6683962;0,1772065
1;1669;646;66;2,99;3;0;0,7062128;0,1898542
1;1669;646;66;2,99;3;0;0,7426089;0,2020268
1;1669;646;66;2,99;3;0;0,7799035;0,2144999
1;1669;646;66;2,99;3;0;0,8280401;0,2305991
1;1669;646;66;2,99;3;0;0,8632665;0,2423805
1;1669;646;66;2,99;3;0;0,9060292;0,2566824
1;1669;646;66;2,99;3;0;0,9408982;0,2683443
1;1669;646;66;2,99;3;0;0,9826028;0,2822923
1;1669;646;66;2,99;3;0;1,016219;0,2935352
1;1669;646;66;2,99;3;0;1,032539;0,2989934
1;1669;646;66;2,99;3;0;1,04661;0,3036994
1;1669;646;66;2,99;3;0;1,062519;0,3090203
1;1669;646;66;2,99;3;0;1,078327;0,3143071
1;1669;646;66;2,99;3;0;1,098313;0,3209915
1;1669;646;66;2,99;3;0;1,110392;0,3250312
1;1669;646;66;2,99;3;0;1,128345;0,3310354
1;1669;646;66;2,99;3;0;1,14013;0,3349771
1;1669;646;66;2,99;3;0;1,160537;0,3418022
1;1669;646;66;2,99;3;0;1,180065;0,3483331
1;1669;646;66;2,99;3;0;1,200215;0,3550723
1;1669;646;66;2,99;3;0;1,216369;0,360475
1;1669;646;66;2,99;3;0;1,235727;0,3669494
1;1669;646;66;2,99;3;0;1,260295;0,375166
1;1669;646;66;2,99;3;0;1,275569;0,3802743
1;1669;646;66;2,99;3;0;1,295565;0,386962
1;1669;646;66;2,99;3;0;1,314973;0,3934531
1;1669;646;66;2,99;3;0;1,335413;0,4002891
1;1669;646;66;2,99;3;0;1,355444;0,4069886
1;1669;646;66;2,99;3;0;1,375081;0,413556
1;1669;646;66;2,99;3;0;1,395046;0,4202333
1;1669;646;66;2,99;3;0;1,414824;0,4268481
1;1669;646;66;2,99;3;0;1,434949;0,4335788
1;1669;646;66;2,99;3;0;1,454844;0,4402326
1;1669;646;66;2,99;3;0;1,48277;0,4495725
1;1669;646;66;2,99;3;0;1,510667;0,4589024
1;9756;7772;75;2,99;3;0;1,538496;0,4682097
1;9756;7772;75;2,99;3;0;1,565473;0,4772324
1;9756;7772;75;2,99;3;0;1,592281;0,4861983
1;9756;7772;75;2,99;3;0;1,61726;0,4945522
1;9756;7772;75;2,99;3;0;1,644297;0,5035947
1;9756;7772;75;2,99;3;0;1,67391;0,5134987
1;9756;7772;75;2,99;3;0;1,702155;0,5229453
1;9756;7772;75;2,99;3;0;1,729821;0,532198
1;9756;7772;75;2,99;3;0;1,757684;0,5415167
1;9756;7772;75;2,99;3;0;1,785697;0,5508859
1;9756;7772;75;2,99;3;0;1,817648;0,5615717
1;9756;7772;75;2,99;3;0;1,853524;0,5735704
1;9756;7772;75;2,99;3;0;1,890324;0,5858781
1;9756;7772;75;2,99;3;0;1,925304;0,5975771
1;9756;7772;75;2,99;3;0;1,961159;0,6095688
1;9756;7772;75;2,99;3;0;1,99896;0,6222111
1;9756;7772;75;2,99;3;0;2,035124;0,6343062
1;9756;7772;75;2,99;3;0;2,067384;0,6450953
1;9756;7772;75;2,99;3;0;2,102754;0,6569249
1;9756;7772;75;2,99;3;0;2,14287;0,6703414
1;9756;7772;75;2,99;3;0;2,182666;0,6836512
1;9756;7772;75;2,99;3;0;2,22261;0,6970103
1;9756;7772;75;2,99;3;0;2,262228;0,7102607
1;9756;7772;75;2,99;3;0;2,302279;0,7236554
1;9756;7772;75;2,99;3;0;2,342101;0,7369738
1;9756;7772;75;2,99;3;0;2,381516;0,7501562
1;9756;7772;75;2,99;3;0;2,421902;0,7636632
1;9756;7772;75;2,99;3;0;2,462093;0,777105
1;9756;7772;75;2,99;3;0;2,50514;0,791502
1;9756;7772;75;2,99;3;0;2,548678;0,8060633
1;9756;7772;75;2,99;3;0;2,592954;0,8208712
1;9756;7772;75;2,99;3;0;2,636539;0,835448
1;9756;7772;75;2,99;3;0;2,680413;0,8501217
1;9756;7772;75;2,99;3;0;2,723914;0,8646705
1;9756;7772;75;2,99;3;0;2,764354;0,8781957
1;9756;7772;75;2,99;3;0;2,809611;0,8933318
1;9756;7772;75;2,99;3;0;2,856112;0,9088842
