run;lowBeta;highBeta;attention;velocity;currentLife;timestamp(s)
1;24645;47820;37;2,95;3;0,02
1;13460;15744;47;2,95;3;0,1246101
1;11326;13324;47;7,999995;3;1,076125
1;3157;14970;63;13,56012;3;2,116241
1;16729;6940;56;2,95;3;3,056348
1;1468;6156;51;8,300002;3;4,041185
1;4250;8454;60;13,88013;3;5,081254
1;57641;47914;60;0;2;6,033493
1;11446;6664;60;2,95;2;7,033734
1;28317;19872;54;2,95;2;8,016226
1;17296;6821;48;8,260001;2;9,005098
1;14575;25766;50;13,46012;2;9,998253
1;16820;23578;53;18,72024;2;11,00138
1;7603;3716;53;20,02;2;11,99932
1;40534;26447;60;20,02;2;12,99293
1;90939;79064;50;6,850026;2;13,98104
1;8758;9154;48;12,45013;2;15,02454
1;12661;11408;50;17,83025;2;16,01185
1;110928;49156;48;20,02;2;17,00609
1;38933;42128;61;20,02;2;18,00491
1;3127;5371;66;6,750026;2;18,98701
1;126856;36292;54;2,95;2;19,97692
1;140363;61434;41;13,80013;2;21,96268
1;40354;93939;48;19,10025;2;22,9502
1;53409;27544;61;20,02;2;23,94698
1;10866;7297;54;6,700026;2;24,93915
1;2328;3640;63;12,02012;2;25,9339
1;23860;6121;44;2,95;2;26,92003
1;206219;133965;44;8,320003;2;27,91946
1;34616;11756;54;13,62012;2;28,9043
1;79329;50994;50;18,92024;2;29,90124
1;187173;47114;47;20,02;2;30,8912
1;35379;20890;44;20,02;2;31,87531
1;16650;28253;34;20,02;2;32,86967
1;25125;16534;29;2,95;2;34,84767
1;128007;115028;24;2,95;2;35,83432
1;56742;44483;38;2,95;2;36,83475
1;9451;27584;29;2,95;2;37,87739
1;4830;49352;50;2,95;2;38,86017
1;11697;24330;54;7,199996;2;39,84097
1;102276;49063;48;11,40007;2;40,83316
1;24321;49318;63;15,62017;2;41,82992
1;48317;52132;53;2,95;2;43,81417
1;109346;114511;60;7,399996;2;44,82092
1;49351;55799;60;2,95;2;45,80507
1;1;0;60;2,95;2;46,80387
1;17191;9227;60;2,95;2;47,79451
1;124462;54988;60;2,95;2;48,79275
1;1;0;60;2,95;2;49,79343
1;75;170;60;2,95;2;50,805
1;6637;8185;60;2,95;2;51,80039
1;14829;12930;54;2,95;2;52,78987
1;28884;28774;51;7,339996;2;53,78337
1;8576;3306;47;11,62008;2;54,7681
1;2563;1207;38;16,00018;2;55,7571
1;5615;1329;41;5,350137;2;56,71904
1;37507;24185;40;9,750175;2;57,71317
1;4617;3860;40;2,95;2;58,71461
1;24313;14700;47;2,95;2;59,71085
1;10511;31422;51;7,459996;2;60,72233
1;20307;33538;51;11,86008;2;61,71768
1;19636;12051;53;16,28018;2;62,70708
1;6259;10066;51;20,02;2;63,71062
1;56178;41368;43;20,02;2;64,70187
1;5277;10840;57;20,02;2;66,64294
1;36383;26527;51;20,02;2;67,64381
1;17614;43130;54;20,02;2;68,63852
1;8073;5532;56;20,02;2;69,68249
1;15082;14256;51;20,02;2;70,62744
1;56171;47608;60;20,02;2;71,64291
1;51347;67107;64;8,900034;2;72,64642
1;73934;20233;47;2,95;2;73,63147
1;6247;3650;47;0;1;74,63602
1;63633;73920;41;4,579998;1;75,64415
1;50425;32158;41;8,760013;1;76,6454
1;6870;3079;51;0,02;0;77,65233
