bonus;lowBeta;highBeta;meditation;currentProgress;timestamp(s)
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;3270;6177;74;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;25438;10967;70;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;13340;11754;64;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;5563;3424;69;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;10650;9626;78;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;100;0
1;6214;11765;69;0;0
1;6214;11765;69;0;0
1;6214;11765;69;0;0
1;6214;11765;69;0;0,02
1;6214;11765;69;0;0,0334287
1;6214;11765;69;0;0,0412388
1;6214;11765;69;0;0,05762
1;6214;11765;69;0;0,0625467
1;6214;11765;69;0;0,0886479
1;6214;11765;69;0;0,119693
1;6214;11765;69;0;0,1493066
1;6214;11765;69;0;0,1822923
1;6214;11765;69;0;0,2160552
1;6214;11765;69;0;0,24443
1;6214;11765;69;0;0,2739139
1;6214;11765;69;0;0,3072499
1;6214;11765;69;0;0,3392885
1;6214;11765;69;0;0,3679664
1;6214;11765;69;0;0,3998065
1;8687;3027;57;0;0,4303933
1;8687;3027;57;0;0,4616433
1;8687;3027;57;0;0,4944238
1;8687;3027;57;0;0,5251511
1;8687;3027;57;0;0,5547146
1;8687;3027;57;0;0,5862988
1;8687;3027;57;0;0,6168397
1;8687;3027;57;0;0,6472374
1;8687;3027;57;0;0,6791489
1;8687;3027;57;0;0,71006
1;8687;3027;57;0;0,7406859
1;8687;3027;57;0;0,7723536
1;8687;3027;57;0;0,8022706
1;8687;3027;57;0;0,834173
1;8687;3027;57;0;0,8645213
1;8687;3027;57;0;0,8957126
1;8687;3027;57;0;0,9265096
1;8687;3027;57;0;0,957597
1;8687;3027;57;0;0,9898306
1;8687;3027;57;0;1,020981
1;8687;3027;57;0;1,051354
1;8687;3027;57;0;1,08184
1;8687;3027;57;0;1,114313
1;8687;3027;57;0;1,144693
1;8687;3027;57;0;1,175906
1;8687;3027;57;0;1,20866
1;8687;3027;57;0;1,238
1;8687;3027;57;0;1,26965
1;8687;3027;57;0;1,299754
1;8687;3027;57;0;1,33134
1;8687;3027;57;0;1,362278
1;8687;3027;57;0;1,392858
1;4898;4284;40;0;1,423874
1;4898;4284;40;0;1,456099
