run;lowBeta;highBeta;attention;velocity;currentLife;coins;distance(m);timestamp(s)
1;6384;6602;40;2,99;3;0;0,1594676;0,02
1;6384;6602;40;2,99;3;0;0,207441;0,0360446
1;6384;6602;40;2,99;3;0;0,2453114;0,0487103
1;6384;6602;40;2,99;3;0;0,2837152;0,0615544
1;6384;6602;40;2,99;3;0;0,32046;0,0738436
1;6384;6602;40;2,99;3;0;0,3568318;0,0860081
1;6384;6602;40;2,99;3;0;0,3943118;0,0985432
1;6384;6602;40;2,99;3;0;0,4326693;0,1113718
1;6384;6602;40;2,99;3;0;0,4701023;0,1238912
1;6384;6602;40;2,99;3;0;0,5082974;0,1366655
1;6384;6602;40;2,99;3;0;0,5479463;0,149926
1;6384;6602;40;2,99;3;0;0,5875462;0,1631701
1;6384;6602;40;2,99;3;0;0,6297814;0,1772956
1;6384;6602;40;2,99;3;0;0,6691875;0,1904749
1;6384;6602;40;2,99;3;0;0,7096407;0,2040044
1;6384;6602;40;2,99;3;0;0,7491808;0,2172285
1;6384;6602;40;2,99;3;0;0,7892253;0,2306213
1;6384;6602;40;2,99;3;0;0,8310572;0,2446119
1;6384;6602;40;2,99;3;0;0,8710759;0,2579961
1;6384;6602;40;2,99;3;0;0,9148624;0,2726404
1;6384;6602;40;2,99;3;0;0,9592968;0,2875014
1;6384;6602;40;2,99;3;0;1,002509;0,3019537
1;6384;6602;40;2,99;3;0;1,046312;0,3166034
1;6384;6602;40;2,99;3;0;1,089607;0,3310836
1;6384;6602;40;2,99;3;0;1,133783;0,345858
1;6384;6602;40;2,99;3;0;1,179927;0,3612907
1;6384;6602;40;2,99;3;0;1,221886;0,3753239
1;6384;6602;40;2,99;3;0;1,267062;0,3904328
1;6384;6602;40;2,99;3;0;1,313367;0,4059196
1;6384;6602;40;2,99;3;0;1,358766;0,4211031
1;6384;6602;40;2,99;3;0;1,405123;0,436607
1;6384;6602;40;2,99;3;0;1,451153;0,4520017
1;6384;6602;40;2,99;3;0;1,498649;0,4678866
1;6384;6602;40;2,99;3;0;1,547048;0,4840738
1;4613;12060;47;2,99;3;0;1,594994;0,5001091
1;4613;12060;47;3,02;3;0;1,641605;0,5156983
1;4613;12060;47;3,04;3;0;1,68992;0,5316966
1;4613;12060;47;3,06;3;0;1,73887;0,5477984
1;4613;12060;47;3,08;3;0;1,788022;0,5638612
1;4613;12060;47;3,1;3;0;1,837183;0,5798225
1;4613;12060;47;3,12;3;0;1,886906;0,5958624
1;4613;12060;47;3,14;3;0;1,936346;0,6117083
1;4613;12060;47;3,16;3;0;1,98671;0,6277478
1;4613;12060;47;3,18;3;0;2,037417;0,6437946
1;4613;12060;47;3,2;3;0;2,085473;0,6589064
1;4613;12060;47;3,22;3;0;2,132277;0,6735326
1;4613;12060;47;3,24;3;0;2,185743;0,6901369
1;4613;12060;47;3,26;3;0;2,238895;0,7065421
1;4613;12060;47;3,28;3;0;2,292985;0,7231341
1;4613;12060;47;3,3;3;0;2,347515;0,7397589
1;4613;12060;47;3,32;3;0;2,404505;0,7570287
1;4613;12060;47;3,34;3;0;2,458059;0,7731592
1;4613;12060;47;3,36;3;0;2,513329;0,7897073
1;4613;12060;47;3,38;3;0;2,569606;0,8064563
1;4613;12060;47;3,4;3;0;2,625598;0,8230221
1;4613;12060;47;3,42;3;0;2,683066;0,8399243
1;4613;12060;47;3,44;3;0;2,739619;0,8564604
1;4613;12060;47;3,46;3;0;2,796736;0,8730642
1;4613;12060;47;3,48;3;0;2,854155;0,8896592
1;4613;12060;47;3,5;3;0;2,912479;0,9064191
1;4613;12060;47;3,52;3;0;2,967547;0,9221528
1;4613;12060;47;3,539999;3;0;3,025965;0,938749
1;4613;12060;47;3,559999;3;0;3,084999;0,9554251
1;4613;12060;47;3,579999;3;0;3,143014;0,9717214
1;4613;12060;47;3,599999;3;0;3,202874;0,9884421
1;4613;12060;47;3,619999;3;0;3,26295;1,00513
1;4613;12060;47;3,639999;3;0;3,322817;1,021668
1;4613;12060;47;3,659999;3;0;3,382802;1,038147
1;4613;12060;47;3,679999;3;0;3,444188;1,054919
1;4613;12060;47;3,699999;3;0;3,505455;1,071568
1;4613;12060;47;3,719999;3;0;3,567953;1,088459
1;4613;12060;47;3,739999;3;0;3,6292;1,104924
1;4613;12060;47;3,759999;3;0;3,691698;1,121634
1;4613;12060;47;3,779999;3;0;3,75498;1,138465
1;4613;12060;47;3,799999;3;0;3,816841;1,15483
1;4613;12060;47;3,819999;3;0;3,880782;1,171656
1;4613;12060;47;3,839999;3;0;3,943861;1,188169
1;4613;12060;47;3,859999;3;0;4,007968;1,204864
1;4613;12060;47;3,879999;3;0;4,072436;1,221565
1;4613;12060;47;3,899999;3;0;4,136856;1,238168
1;4613;12060;47;3,919999;3;0;4,201785;1,254817
1;4613;12060;47;3,939999;3;0;4,267164;1,271495
1;4613;12060;47;3,959999;3;0;4,33252;1,288083
1;4613;12060;47;3,979999;3;0;4,398819;1,304825
1;4613;12060;47;3,999999;3;0;4,464892;1,321427
1;4613;12060;47;4,019999;3;0;4,531468;1,338071
1;4613;12060;47;4,039999;3;0;4,598621;1,354775
1;4613;12060;47;4,059999;3;0;4,666137;1,371487
1;4613;12060;47;4,079999;3;0;4,733612;1,388106
1;4613;12060;47;4,099999;3;0;4,801419;1,404726
1;4613;12060;47;4,119999;3;0;4,870411;1,421553
1;4613;12060;47;4,139999;3;0;4,938496;1,438079
1;4613;12060;47;4,159999;3;0;5,007503;1,454747
1;4613;12060;47;4,179999;3;0;5,076197;1,47126
1;4613;12060;47;4,199999;3;0;5,145754;1,487901
1;4613;12060;47;4,219999;3;0;5,216246;1,504684
1;4613;12060;47;4,239999;3;0;5,285776;1,521161
1;2367;8355;61;4,259999;3;0;5,357609;1,538103
1;2367;8355;61;4,249999;3;0;5,428044;1,554636
1;2367;8355;61;4,239998;3;0;5,498937;1,571317
1;2367;8355;61;4,229998;3;0;5,569724;1,588012
1;2367;8355;61;4,219998;3;0;5,640113;1,604653
1;2367;8355;61;4,209998;3;0;5,711214;1,621501
1;2367;8355;61;4,199997;3;0;5,780099;1,637863
1;2367;8355;61;4,189997;3;0;5,849844;1,654469
1;2367;8355;61;4,179997;3;0;5,919797;1,671165
1;2367;8355;61;4,169997;3;0;5,9895;1,68784
1;2367;8355;61;4,159997;3;0;6,058892;1,704481
1;2367;8355;61;4,149996;3;0;6,128751;1,721274
1;2367;8355;61;4,139996;3;0;6,197784;1,737908
1;2367;8355;61;4,129996;3;0;6,267546;1,754759
1;2367;8355;61;4,119996;3;0;6,334733;1,771027
1;2367;8355;61;4,109995;3;0;6,408501;1,788932
1;2367;8355;61;4,099995;3;0;6,475862;1,805321
1;2367;8355;61;4,089995;3;0;6,543318;1,821774
1;2367;8355;61;4,079995;3;0;6,611722;1,838498
1;2367;8355;61;4,069994;3;0;6,679275;1,855056
1;2367;8355;61;4,059994;3;0;6,748571;1,872082
1;2367;8355;61;4,049994;3;0;6,813401;1,88805
1;2367;8355;61;4,039994;3;0;6,880153;1,904532
1;2367;8355;61;4,029994;3;0;6,947276;1,921146
1;2367;8355;61;4,019993;3;0;7,014143;1,937739
1;2367;8355;61;4,009993;3;0;7,083033;1,954876
1;2367;8355;61;3,999993;3;0;7,152076;1,972093
1;2367;8355;61;3,989993;3;0;7,217273;1,988393
1;2367;8355;61;3,979993;3;0;7,283964;2,005107
1;2367;8355;61;3,969993;3;0;7,350044;2,02171
1;2367;8355;61;3,959993;3;0;7,41633;2,038407
1;2367;8355;61;3,949993;3;0;7,482715;2,055171
1;2367;8355;61;3,939993;3;0;7,549186;2,071999
1;2367;8355;61;3,929993;3;0;7,613559;2,088337
1;2367;8355;61;3,919993;3;0;7,679108;2,105017
1;2367;8355;61;3,909993;3;0;7,744169;2,121614
1;2367;8355;61;3,899993;3;0;7,810294;2,138526
1;2367;8355;61;3,889993;3;0;7,874408;2,154965
