bonus;lowBeta;highBeta;meditation;currentProgress;timestamp(s)
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;8536;2311;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;78406;73882;69;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;100;0
1;23304;24961;63;0;0
1;23304;24961;63;0;0
1;23304;24961;63;0;0
1;23304;24961;63;0;0,02
1;23304;24961;63;0;0,0355338
1;23304;24961;63;0;0,0387508
1;23304;24961;63;0;0,0510271
1;23304;24961;63;0;0,0555069
1;23304;24961;63;0;0,0662174
1;23304;24961;63;0;0,0714745
1;23304;24961;63;0;0,0786779
1;23304;24961;63;0;0,0894281
1;23304;24961;63;0;0,0940293
1;23304;24961;63;0;0,1078277
1;23304;24961;63;0;0,118349
1;23304;24961;63;0;0,1397866
1;23304;24961;63;0;0,1715127
1;23304;24961;63;0;0,2055368
1;23304;24961;63;0;0,2353546
1;23304;24961;63;0;0,2661902
1;23304;24961;63;0;0,2983704
1;23304;24961;63;0;0,3284377
1;23304;24961;63;0;0,3588594
1;37077;6687;61;0;0,3926847
1;37077;6687;61;0;0,4252929
1;37077;6687;61;0;0,4538726
1;37077;6687;61;0;0,4832957
1;37077;6687;61;0;0,514796
1;37077;6687;61;0;0,5463089
1;37077;6687;61;0;0,5757258
1;37077;6687;61;0;0,6082489
1;37077;6687;61;0;0,6377073
1;37077;6687;61;0;0,6689124
1;37077;6687;61;0;0,7024762
1;37077;6687;61;0;0,7331499
1;37077;6687;61;0;0,7628572
1;37077;6687;61;0;0,7934219
1;37077;6687;61;0;0,824602
1;37077;6687;61;0;0,8551277
1;37077;6687;61;0;0,8852433
1;37077;6687;61;0;0,916816
1;37077;6687;61;0;0,9504241
1;37077;6687;61;0;0,9812615
1;37077;6687;61;0;1,010139
1;37077;6687;61;0;1,042695
1;37077;6687;61;0;1,073615
1;37077;6687;61;0;1,105023
1;37077;6687;61;0;1,136179
1;37077;6687;61;0;1,16724
1;37077;6687;61;0;1,197864
1;37077;6687;61;0;1,228743
1;37077;6687;61;0;1,258774
1;37077;6687;61;0;1,289555
1;37077;6687;61;0;1,32172
1;37077;6687;61;0;1,352035
1;37077;6687;61;0;1,382928
1;37077;6687;61;0;1,41512
1;37077;6687;61;0;1,455974
1;37077;6687;61;0;1,492058
1;37077;6687;61;0;1,525013
1;37077;6687;61;0;1,555273
1;37077;6687;61;0;1,585348
1;37077;6687;61;0;1,618518
1;37077;6687;61;0;1,648318
1;37077;6687;61;0;1,678623
1;37077;6687;61;0;1,709768
1;37077;6687;61;0;1,742106
1;37077;6687;61;0;1,771541
1;37077;6687;61;0;1,801758
1;37077;6687;61;0;1,833542
1;37077;6687;61;0;1,865221
1;37077;6687;61;0;1,897411
1;37077;6687;61;0;1,929739
1;37077;6687;61;0;1,960033
1;37077;6687;61;0;1,990851
1;37077;6687;61;0;2,021494
1;37077;6687;61;0;2,053545
1;37077;6687;61;0;2,085569
1;37077;6687;61;0;2,116484
