run;lowBeta;highBeta;attention;velocity;currentLife;coins;distance(m);timestamp(s)
1;65341;30153;37;2,99;3;0;0,1592927;0,02
1;65341;30153;37;2,99;3;0;0,2096772;0,036851
1;65341;30153;37;2,99;3;0;0,2426237;0,0478699
1;65341;30153;37;2,99;3;0;0,2789908;0,0600328
1;65341;30153;37;2,99;3;0;0,3145646;0,0719304
1;65341;30153;37;2,99;3;0;0,350554;0,083967
1;65341;30153;37;2,99;3;0;0,3869241;0,0961309
1;65341;30153;37;2,99;3;0;0,4225401;0,1080426
1;65341;30153;37;2,99;3;0;0,4580619;0,1199228
1;65341;30153;37;2,99;3;0;0,4911343;0,1309838
1;65341;30153;37;2,99;3;0;0,5277199;0,1432198
1;65341;30153;37;2,99;3;0;0,5678541;0,1566426
1;65341;30153;37;2,99;3;0;0,6077598;0,169989
1;28394;11062;29;2,99;3;0;0,6497765;0,1840414
1;28394;11062;29;2,99;3;0;0,6890541;0,1971777
1;28394;11062;29;2,99;3;0;0,7289607;0,2105244
1;28394;11062;29;2,99;3;0;0,7707899;0,2245141
1;28394;11062;29;2,99;3;0;0,8118594;0,2382497
1;28394;11062;29;2,99;3;0;0,852564;0,2518633
1;28394;11062;29;2,99;3;0;0,8940691;0,2657446
1;28394;11062;29;2,99;3;0;0,9365316;0,2799461
1;28394;11062;29;2,99;3;0;0,9799386;0,2944635
1;28394;11062;29;2,99;3;0;1,02409;0,30923
1;28394;11062;29;2,99;3;0;1,067749;0,3238315
1;28394;11062;29;2,99;3;0;1,112453;0,3387826
1;28394;11062;29;2,99;3;0;1,155841;0,3532936
1;28394;11062;29;2,99;3;0;1,201889;0,3686944
1;28394;11062;29;2,99;3;0;1,24721;0,3838519
1;28394;11062;29;2,99;3;0;1,289536;0,3980078
1;28394;11062;29;2,99;3;0;1,334916;0,4131851
1;28394;11062;29;2,99;3;0;1,380948;0,4285803
1;28394;11062;29;2,99;3;0;1,426692;0,4438794
1;28394;11062;29;2,99;3;0;1,472015;0,4590377
1;28394;11062;29;2,99;3;0;1,52016;0,4751395
1;28394;11062;29;2,99;3;0;1,568213;0,4912107
1;28394;11062;29;2,99;3;0;1,615784;0,5071207
1;28394;11062;29;2,99;3;0;1,663766;0,5231683
1;28394;11062;29;2,99;3;0;1,711516;0,5391381
1;28394;11062;29;2,99;3;0;1,759546;0,5552017
1;28394;11062;29;2,99;3;0;1,807223;0,5711474
1;28394;11062;29;2,99;3;0;1,855605;0,5873286
1;28394;11062;29;2,99;3;0;1,903175;0,6032381
1;28394;11062;29;2,99;3;0;1,95042;0,6190392
1;28394;11062;29;2,99;3;0;1,998361;0,6350729
1;28394;11062;29;2,99;3;0;2,046539;0,6511861
1;17479;11740;35;2,99;3;0;2,094827;0,667336
1;17479;11740;35;2,99;3;0;2,144025;0,6837901
1;17479;11740;35;2,99;3;0;2,194102;0,7005382
1;17479;11740;35;2,99;3;0;2,243963;0,7172141
1;17479;11740;35;2,99;3;0;2,293695;0,7338472
1;17479;11740;35;2,99;3;0;2,343163;0,7503917
1;17479;11740;35;2,99;3;0;2,393586;0,7672555
1;17479;11740;35;2,99;3;0;2,442562;0,7836354
1;17479;11740;35;2,99;3;0;2,492904;0,8004723
1;17479;11740;35;2,99;3;0;2,54232;0,8169994
1;17479;11740;35;2,99;3;0;2,592206;0,8336836
1;17479;11740;35;2,99;3;0;2,6417;0,8502366
1;17479;11740;35;2,99;3;0;2,691776;0,8669846
1;17479;11740;35;2,99;3;0;2,741904;0,8837498
1;17479;11740;35;2,99;3;0;2,790869;0,9001258
1;17479;11740;35;2,99;3;0;2,840593;0,9167562
1;17479;11740;35;2,99;3;0;2,890914;0,933586
1;17479;11740;35;2,99;3;0;2,940691;0,9502335
1;17479;11740;35;2,99;3;0;2,990811;0,9669961
1;17479;11740;35;2,99;3;0;3,040822;0,9837222
1;17479;11740;35;2,99;3;0;3,090312;1,000274
1;17479;11740;35;2,99;3;0;3,139771;1,016816
1;17479;11740;35;2,99;3;0;3,189654;1,033499
1;17479;11740;35;2,99;3;0;3,239994;1,050335
1;17479;11740;35;2,99;3;0;3,289779;1,066985
1;17479;11740;35;2,99;3;0;3,339626;1,083657
1;17479;11740;35;2,99;3;0;3,388834;1,100114
1;17479;11740;35;2,99;3;0;3,440432;1,117371
1;17479;11740;35;2,99;3;0;3,488898;1,13358
1;17479;11740;35;2,99;3;0;3,539117;1,150376
1;17479;11740;35;2,99;3;0;3,588408;1,166861
1;17479;11740;35;2,99;3;0;3,638576;1,18364
1;17479;11740;35;2,99;3;0;3,68804;1,200183
1;17479;11740;35;2,99;3;0;3,737434;1,216703
1;17479;11740;35;2,99;3;0;3,78711;1,233317
1;17479;11740;35;2,99;3;0;3,837375;1,250128
1;17479;11740;35;2,99;3;0;3,887128;1,266768
1;17479;11740;35;2,99;3;0;3,937372;1,283572
1;17479;11740;35;2,99;3;0;3,987393;1,300301
1;17479;11740;35;2,99;3;0;4,036146;1,316607
1;17479;11740;35;2,99;3;0;4,08726;1,333702
1;17479;11740;35;2,99;3;0;4,136034;1,350014
1;17479;11740;35;2,99;3;0;4,186276;1,366817
1;17479;11740;35;2,99;3;0;4,235266;1,383202
1;17479;11740;35;2,99;3;0;4,285264;1,399924
1;17479;11740;35;2,99;3;0;4,33557;1,416749
1;17479;11740;35;2,99;3;0;4,385806;1,43355
1;17479;11740;35;2,99;3;0;4,434624;1,449877
1;17479;11740;35;2,99;3;0;4,484283;1,466485
1;17479;11740;35;2,99;3;0;4,534265;1,483201
1;17479;11740;35;2,99;3;0;4,584053;1,499853
1;17479;11740;35;2,99;3;0;4,633917;1,51653
1;17479;11740;35;2,99;3;0;4,683978;1,533273
1;4638;6016;38;2,99;3;0;4,733573;1,54986
1;4638;6016;38;2,99;3;0;4,784069;1,566748
1;4638;6016;38;2,99;3;0;4,83393;1,583424
1;4638;6016;38;2,99;3;0;4,884488;1,600333
1;4638;6016;38;2,99;3;0;4,933306;1,61666
